"index","sensor","date","path","row","cloud","cloud_land","year","mmdd"
NA,"LANDSAT_7","2003-01-07",44,26,26,26,2003,"01-07"
NA,"LANDSAT_5","2003-01-08",43,26,36,36,2003,"01-08"
NA,"LANDSAT_7","2003-01-16",43,26,71,71,2003,"01-16"
NA,"LANDSAT_7","2003-02-01",43,26,56,56,2003,"02-01"
NA,"LANDSAT_7","2003-02-08",44,26,39,39,2003,"02-08"
NA,"LANDSAT_5","2003-02-09",43,26,90,90,2003,"02-09"
NA,"LANDSAT_7","2003-02-24",44,26,0,0,2003,"02-24"
NA,"LANDSAT_5","2003-02-25",43,26,30,30,2003,"02-25"
NA,"LANDSAT_5","2003-03-04",44,26,35,35,2003,"03-04"
NA,"LANDSAT_7","2003-03-05",43,26,86,86,2003,"03-05"
NA,"LANDSAT_7","2003-03-28",44,26,34,34,2003,"03-28"
NA,"LANDSAT_5","2003-03-29",43,26,92,92,2003,"03-29"
NA,"LANDSAT_5","2003-04-05",44,26,86,86,2003,"04-05"
NA,"LANDSAT_7","2003-04-06",43,26,30,30,2003,"04-06"
NA,"LANDSAT_7","2003-04-13",44,26,85,85,2003,"04-13"
NA,"LANDSAT_5","2003-04-21",44,26,44,44,2003,"04-21"
NA,"LANDSAT_7","2003-04-22",43,26,66,66,2003,"04-22"
NA,"LANDSAT_7","2003-04-29",44,26,43,43,2003,"04-29"
NA,"LANDSAT_5","2003-04-30",43,26,58,58,2003,"04-30"
NA,"LANDSAT_5","2003-05-07",44,26,91,91,2003,"05-07"
NA,"LANDSAT_7","2003-05-08",43,26,80,80,2003,"05-08"
NA,"LANDSAT_7","2003-05-15",44,26,88,88,2003,"05-15"
NA,"LANDSAT_5","2003-05-16",43,26,79,79,2003,"05-16"
NA,"LANDSAT_5","2003-05-23",44,26,34,34,2003,"05-23"
NA,"LANDSAT_7","2003-05-24",43,26,2,2,2003,"05-24"
NA,"LANDSAT_7","2003-05-31",44,26,98,98,2003,"05-31"
NA,"LANDSAT_5","2003-06-01",43,26,64,64,2003,"06-01"
NA,"LANDSAT_5","2003-06-08",44,26,4,4,2003,"06-08"
NA,"LANDSAT_5","2003-06-24",44,26,32,32,2003,"06-24"
NA,"LANDSAT_5","2003-07-03",43,26,9,9,2003,"07-03"
NA,"LANDSAT_5","2003-07-10",44,26,1,1,2003,"07-10"
NA,"LANDSAT_7","2003-07-18",44,26,0,0,2003,"07-18"
NA,"LANDSAT_5","2003-07-19",43,26,0,0,2003,"07-19"
NA,"LANDSAT_5","2003-07-26",44,26,1,1,2003,"07-26"
NA,"LANDSAT_7","2003-07-27",43,26,1,1,2003,"07-27"
NA,"LANDSAT_7","2003-08-03",44,26,94,94,2003,"08-03"
NA,"LANDSAT_5","2003-08-04",43,26,58,58,2003,"08-04"
NA,"LANDSAT_5","2003-08-11",44,26,44,44,2003,"08-11"
NA,"LANDSAT_7","2003-08-12",43,26,16,16,2003,"08-12"
NA,"LANDSAT_7","2003-08-19",44,26,49,49,2003,"08-19"
NA,"LANDSAT_5","2003-08-20",43,26,0,0,2003,"08-20"
NA,"LANDSAT_5","2003-08-27",44,26,17,17,2003,"08-27"
NA,"LANDSAT_7","2003-08-28",43,26,14,14,2003,"08-28"
NA,"LANDSAT_5","2003-09-05",43,26,0,0,2003,"09-05"
NA,"LANDSAT_5","2003-09-12",44,26,56,56,2003,"09-12"
NA,"LANDSAT_7","2003-09-20",44,26,1,1,2003,"09-20"
NA,"LANDSAT_5","2003-09-21",43,26,3,3,2003,"09-21"
