"plot","pi_mpb_killed","pi_mpb_killed_pc","ndmi","taswet","tasgre","tasbri","easting","northing","lon","lat","ndmi_norm","norm_diff","ndmi_ours"
1,15.0241928019693,84.9091941165153,-0.126315996050835,-4519.45875366211,8898.47551682692,17244.308445012,523245,5447295,-116.681057336658,49.178022820369,-0.100100003182888,0.026215992867947,-0.100100003182888
2,39.7510178591308,80.6718155584882,-0.152827993035317,-3477.70495605469,8063.40490722656,15530.9748535156,522855,5447565,-116.686393063671,49.1804661787468,-0.0895000025629997,0.0633279904723173,-0.0895000025629997
3,37.2124167088095,80.7369574840845,-0.151792004704475,-3575.55004882812,8187.68994140625,15795.75,523125,5447145,-116.682712444629,49.1766780756498,-0.0886000022292137,0.0631920024752613,-0.0886000022292137
4,24.519410957203,82.8216273785474,-0.129688993096352,-3796.73504638672,8362.29760742187,16114.6247558594,523005,5447445,-116.684341722842,49.1793811476373,-0.0859000012278557,0.0437889918684963,-0.0859000012278557
5,6.64870741023682,89.0634714879892,-0.109407000243664,-4083.99499511719,8570.20263671875,16574.6748046875,524265,5446245,-116.667125581514,49.1685383691841,-0.090599998831749,0.018807001411915,-0.090599998831749
6,6.32572524120759,89.2954419375831,-0.107192002236843,-3918.42248535156,8475.02001953125,16368.5751953125,523545,5446455,-116.676990297819,49.1704554108386,-0.0917999967932701,0.0153920054435729,-0.0917999967932701
7,4.79519411651529,90.5771284723991,-0.104301996529102,-3869.61749267578,8476.32983398438,16358.4250488281,523485,5446785,-116.67779414948,49.1734261277776,-0.088699996471405,0.015602000057697,-0.088699996471405
8,2.70762737854738,90.6412201597734,-0.0983740016818047,-3958.83001708984,8517.9599609375,16445.4504394531,523155,5445885,-116.682373351481,49.1653429791571,-0.0854000002145767,0.012974001467228,-0.0854000002145767
9,2.40276885946298,91.692429154288,-0.0932584032416344,-3804.39501953125,8367.4052734375,16144.6997070313,522915,5447445,-116.685576619395,49.1793845163192,-0.0935999974608421,-0.000341594219207736,-0.0935999974608421
10,9.18144193758311,88.4778213100947,-0.112493000924587,-3608.21746826172,8232.43994140625,15838.4250488281,523005,5447745,-116.684324559622,49.1820797066637,-0.0826999992132187,0.0297930017113683,-0.0826999992132187
11,1.58222089522678,92.3915414763885,-0.0888196974992752,-3674.81500244141,8311.544921875,16015.3249511719,522945,5447325,-116.685171833853,49.1783039708406,-0.0888999998569489,-8.03023576736589e-05,-0.0888999998569489
12,1.3616191353309,92.5614495204142,-0.0730312019586563,-3745.40747070312,8339.4599609375,16030.3999023438,523155,5447745,-116.682266287309,49.1820740623172,-0.0737000033259392,-0.000668801367282881,-0.0737000033259392
13,11.578429154288,86.7801906400317,-0.117417998611927,-3679.89251708984,8349.65991210938,16008.5502929688,523425,5447265,-116.678589360002,49.1777461174078,-0.0824000015854836,0.0350179970264434,-0.0824000015854836
14,12.2775414763885,86.7627074102368,-0.118724003434181,-4560.29947246845,8928.11228540665,17306.2148363214,523245,5447055,-116.681071207569,49.1758639724078,-0.0819000005722046,0.0368240028619764,-0.0819000005722046
15,0.622957484084543,97.850410957203,0.0332639999687672,-3904.09997558594,8437.044921875,16315.5251464844,523005,5446935,-116.684370894432,49.1747935943731,0.0333999991416931,0.000135999172925914,0.0333999991416931
16,8.94947148798914,88.3551928019693,-0.115543000400066,-3873.67498779297,8474.5673828125,16306.6499023438,523305,5445915,-116.680314036109,49.1656071579734,-0.115199998021126,0.000343002378940208,-0.115199998021126
17,34.6738155584882,81.2893700172594,-0.140134006738663,-4134.69506835938,8744.240234375,16855.1005859375,523575,5446365,-116.676584013408,49.16964469036,-0.0780000016093254,0.0621340051293376,-0.0780000016093254
18,26.7821906400317,82.516768859463,-0.130511999130249,-5081.22009277344,9102.19995117187,17824.400390625,523395,5445945,-116.67907773886,49.1658735901944,-0.109999999403954,0.0205119997262954,-0.109999999403954
19,42.2896190094521,80.3480178591308,-0.15599699318409,-4056.72259521484,8473.59497070313,16402.2250976563,523065,5447325,-116.683525341074,49.1782994706321,-0.115800000727177,0.0401969924569133,-0.115800000727177
20,32.1352144081669,81.4756191353309,-0.139293998479843,-4820.72998046875,9451.90234375,18098.7749023438,523485,5446365,-116.677818666857,49.1696481414935,-0.114600002765656,0.0246939957141875,-0.114600002765656
21,27.0580121075243,82.4046190094521,-0.133031994104385,-4373.96008300781,8754.54736328125,17017.724609375,523635,5446725,-116.675739762446,49.1728806557279,-0.0790999978780746,0.0539319962263103,-0.0790999978780746
22,29.5966132578456,81.6962208952268,-0.138340994715691,-4460.19494628906,8701.0625,16966.8999023438,523395,5446125,-116.679067274491,49.1674927287424,-0.109099999070167,0.0292409956455235,-0.109099999070168
23,15.6960379933792,83.0254167088095,-0.128451004624367,-3957.17761230469,8498.86254882813,16349.8251953125,523605,5447055,-116.676131975244,49.1758502264828,-0.0808999985456467,0.0475510060787203,-0.0808999985456467
24,12.4474495204142,86.4397252412076,-0.120993003249168,-4429.85748291016,8708.43530273437,16995.6252441406,523725,5447025,-116.674487334854,49.1755757416866,-0.0795999988913536,0.0413930043578144,-0.0795999988913536
25,10.4631284723991,87.0560121075243,-0.117039002478123,-3779.10754394531,8399.490234375,16154.4250488281,523305,5446005,-116.680308824246,49.1664167274399,-0.0807999968528748,0.0362390056252482,-0.0807999968528748
26,47.3668213100947,75.4096132578456,-0.166336998343468,-3653.44995117188,8290.31518554688,15922.0251464844,523935,5446875,-116.671615059789,49.1742183054822,-0.107600003480911,0.0587369948625567,-0.107600003480911
27,44.8282201597734,77.9482144081669,-0.163434997200966,-3626.89251708984,8213.59484863281,15822.8000488281,523395,5446035,-116.679072506793,49.1666831595256,-0.10589999705553,0.0575350001454354,-0.105899997055531
28,1.17537001725943,95.2830379933792,-0.0529821999371052,-3943.419921875,8454.5849609375,16365,523725,5446665,-116.674508567348,49.1723374701509,-0.0531000010669231,-0.000117801129817942,-0.0531000010669231
