point_id,easting_m,northing_m
1,524008.045,5448641.910
2,523976.295,5448643.233
3,524008.375,5448619.090
4,523977.948,5448618.759
5,523946.132,5448579.998
6,523914.382,5448581.321
7,523946.463,5448557.177
8,523916.036,5448556.847
9,523796.907,5448526.023
10,523765.157,5448527.345
11,523797.237,5448503.202
12,523766.810,5448502.871
13,523322.243,5448286.310
14,523290.493,5448287.632
15,523322.574,5448263.489
16,523292.147,5448263.158
17,523323.831,5448232.334
18,523292.081,5448233.657
19,523324.162,5448209.514
20,523293.734,5448209.183
21,523500.044,5448375.210
22,523468.294,5448376.533
23,523500.374,5448352.389
24,523469.947,5448352.059
25,523501.631,5448316.472
26,523469.881,5448317.795
27,523501.962,5448293.652
28,523471.535,5448293.321
29,523447.656,5448225.984
30,523415.906,5448227.307
31,523447.987,5448203.164
32,523417.560,5448202.833
33,523384.156,5448168.834
34,523352.406,5448170.157
35,523384.487,5448146.014
36,523354.059,5448145.683
37,523325.418,5448167.247
38,523293.668,5448168.570
39,523325.749,5448144.426
40,523295.322,5448144.096
41,524273.158,5447606.064
42,524241.408,5447607.387
43,524273.488,5447583.244
44,524243.061,5447582.913
45,524064.136,5447756.877
46,524032.386,5447758.200
47,524064.467,5447734.057
48,524034.040,5447733.726
49,523560.104,5447903.721
50,523528.354,5447905.044
51,523560.435,5447880.901
52,523530.008,5447880.570
53,523503.219,5447903.721
54,523471.469,5447905.044
55,523503.549,5447880.901
56,523473.122,5447880.570
57,523441.041,5447636.492
58,523409.291,5447637.814
59,523441.372,5447613.671
60,523410.945,5447613.340
61,523975.236,5447606.329
62,523943.486,5447607.652
63,523975.567,5447583.509
64,523945.140,5447583.178
65,523918.086,5447607.123
66,523886.336,5447608.446
67,523918.417,5447584.302
68,523887.990,5447583.972
69,523820.455,5447546.004
70,523788.705,5447547.327
71,523820.785,5447523.184
72,523790.358,5447522.853
73,523760.130,5447545.210
74,523728.380,5447546.533
75,523760.460,5447522.390
76,523730.033,5447522.059
77,523702.186,5447488.854
78,523670.436,5447490.177
79,523702.516,5447466.033
80,523672.089,5447465.703
81,523648.211,5447487.266
82,523616.461,5447488.589
83,523648.541,5447464.446
84,523618.114,5447464.115
85,524359.941,5447463.454
86,524328.191,5447464.777
87,524360.272,5447440.633
88,524329.845,5447440.303
89,524357.825,5447399.954
90,524326.074,5447401.277
91,524358.155,5447377.133
92,524327.728,5447376.802
93,524301.733,5447402.070
94,524269.983,5447403.393
95,524302.063,5447379.250
96,524271.636,5447378.919
97,524300.674,5447340.687
98,524268.924,5447342.010
99,524301.005,5447317.866
100,524270.578,5447317.536
101,524683.792,5447133.253
102,524652.042,5447134.576
103,524684.123,5447110.433
104,524653.695,5447110.102
105,524684.123,5447073.391
106,524652.373,5447074.714
107,524684.453,5447050.571
108,524654.026,5447050.240
109,523177.158,5445719.818
110,523206.923,5445717.040
111,523177.158,5445685.687
112,523206.923,5445687.672
