"year","date","doy","hour","temp","wind"
2005,2005-05-01,121,5,2.9,0
2005,2005-05-01,121,6,3.4,0
2005,2005-05-01,121,7,7.6,0
2005,2005-05-01,121,8,10.2,0
2005,2005-05-01,121,9,12,0
2005,2005-05-01,121,10,14.8,6
2005,2005-05-01,121,11,17.3,6
2005,2005-05-01,121,12,19.3,7
2005,2005-05-01,121,13,20.4,7
2005,2005-05-01,121,14,17.1,11
2005,2005-05-01,121,15,18.7,13
2005,2005-05-01,121,16,18.8,11
2005,2005-05-01,121,17,18.6,7
2005,2005-05-01,121,18,17.8,7
2005,2005-05-01,121,19,16.4,15
2005,2005-05-01,121,20,15,13
2005,2005-05-02,122,5,7.2,0
2005,2005-05-02,122,6,7.5,0
2005,2005-05-02,122,7,9.9,0
2005,2005-05-02,122,8,11.1,0
2005,2005-05-02,122,9,12.9,9
2005,2005-05-02,122,10,14.8,15
2005,2005-05-02,122,11,17.6,9
2005,2005-05-02,122,12,20.9,0
2005,2005-05-02,122,13,21.6,6
2005,2005-05-02,122,14,20.9,9
2005,2005-05-02,122,15,21,9
2005,2005-05-02,122,16,21,7
2005,2005-05-02,122,17,21.6,15
2005,2005-05-02,122,18,19.6,0
2005,2005-05-02,122,19,16.6,0
2005,2005-05-02,122,20,13.6,0
2005,2005-05-03,123,5,7.4,0
2005,2005-05-03,123,6,8.6,0
2005,2005-05-03,123,7,10,0
2005,2005-05-03,123,8,11.4,0
2005,2005-05-03,123,9,13.6,9
2005,2005-05-03,123,10,14.9,15
2005,2005-05-03,123,11,16.1,11
2005,2005-05-03,123,12,17.9,15
2005,2005-05-03,123,13,18.1,19
2005,2005-05-03,123,14,18.9,17
2005,2005-05-03,123,15,14.8,19
2005,2005-05-03,123,16,13.1,0
2005,2005-05-03,123,17,15.7,0
2005,2005-05-03,123,18,14.7,0
2005,2005-05-03,123,19,13.5,7
2005,2005-05-03,123,20,12.6,19
2005,2005-05-04,124,5,7.8,0
2005,2005-05-04,124,6,8.4,0
2005,2005-05-04,124,7,9.5,7
2005,2005-05-04,124,8,10.8,9
2005,2005-05-04,124,9,12.9,7
2005,2005-05-04,124,10,12.4,13
2005,2005-05-04,124,11,12.4,9
2005,2005-05-04,124,12,14.3,7
2005,2005-05-04,124,13,12.4,19
2005,2005-05-04,124,14,11.8,0
2005,2005-05-04,124,15,13.4,0
2005,2005-05-04,124,16,14.3,9
2005,2005-05-04,124,17,13.7,0
2005,2005-05-04,124,18,12.8,0
2005,2005-05-04,124,19,12,0
2005,2005-05-04,124,20,11.3,0
2005,2005-05-05,125,5,8.1,0
2005,2005-05-05,125,6,8.9,9
2005,2005-05-05,125,7,9.9,11
2005,2005-05-05,125,8,11.3,11
2005,2005-05-05,125,9,13.8,15
2005,2005-05-05,125,10,15.4,19
2005,2005-05-05,125,11,17.3,15
2005,2005-05-05,125,12,18,15
2005,2005-05-05,125,13,18.9,17
2005,2005-05-05,125,14,19.2,13
2005,2005-05-05,125,15,19.9,11
2005,2005-05-05,125,16,19.8,9
2005,2005-05-05,125,17,19.2,9
2005,2005-05-05,125,18,18.4,7
2005,2005-05-05,125,19,16.7,9
2005,2005-05-05,125,20,15.8,6
2005,2005-05-06,126,5,10.3,0
2005,2005-05-06,126,6,10.8,6
2005,2005-05-06,126,7,11.9,6
2005,2005-05-06,126,8,13.7,0
2005,2005-05-06,126,9,16.5,0
2005,2005-05-06,126,10,17.5,6
2005,2005-05-06,126,11,19.4,0
2005,2005-05-06,126,12,19.7,0
2005,2005-05-06,126,13,21.2,6
2005,2005-05-06,126,14,19.5,0
2005,2005-05-06,126,15,20.3,0
2005,2005-05-06,126,16,21.5,13
2005,2005-05-06,126,17,22.3,11
2005,2005-05-06,126,18,21.1,15
2005,2005-05-06,126,19,18.9,15
2005,2005-05-06,126,20,16.7,9
2005,2005-05-07,127,5,6.6,7
2005,2005-05-07,127,6,8,0
2005,2005-05-07,127,7,12.6,6
2005,2005-05-07,127,8,14.1,19
2005,2005-05-07,127,9,15.7,19
2005,2005-05-07,127,10,17.2,19
2005,2005-05-07,127,11,19.3,19
