"year","date","hour","temp","spd","dir"
2006,2006-04-15,7,4.4,11,160
2006,2006-04-15,8,5.7,15,190
2006,2006-04-15,9,6.1,19,190
2006,2006-04-15,10,6.5,19,180
2006,2006-04-15,11,6.8,19,160
2006,2006-04-15,12,6.9,15,180
2006,2006-04-15,13,8.2,19,150
2006,2006-04-15,14,8.6,15,150
2006,2006-04-15,15,8.7,9,150
2006,2006-04-15,16,9.2,19,150
2006,2006-04-15,17,8.1,28,170
2006,2006-04-15,18,6,19,150
2006,2006-04-15,19,5.9,9,150
2006,2006-04-15,20,5.3,9,150
2006,2006-04-16,5,4,9,190
2006,2006-04-16,6,3.9,13,190
2006,2006-04-16,7,4.3,11,190
2006,2006-04-16,8,4.9,19,190
2006,2006-04-16,9,5.5,7,230
2006,2006-04-16,10,6.8,19,170
2006,2006-04-16,11,8.2,26,180
2006,2006-04-16,12,8.6,22,140
2006,2006-04-16,13,9.9,19,210
2006,2006-04-16,14,9.5,19,210
2006,2006-04-16,15,9.8,19,120
2006,2006-04-16,16,9.6,19,300
2006,2006-04-16,17,9.6,15,320
2006,2006-04-16,18,7,9,320
2006,2006-04-16,19,5.5,7,320
2006,2006-04-16,20,4.6,7,320
2006,2006-04-17,8,4.4,7,320
2006,2006-04-17,9,6.1,19,320
2006,2006-04-17,12,10.8,9,320
2006,2006-04-17,13,11.1,19,320
2006,2006-04-17,14,12.3,22,290
2006,2006-04-17,15,11.8,19,310
2006,2006-04-17,16,11.2,9,10
2006,2006-04-17,17,10.2,13,330
2006,2006-04-17,18,9.2,19,360
2006,2006-04-17,19,7.5,11,20
2006,2006-04-17,20,5.9,13,130
2006,2006-04-18,11,11.9,19,150
2006,2006-04-18,12,13.1,19,150
2006,2006-04-18,13,14.1,19,220
2006,2006-04-18,14,14.9,15,190
2006,2006-04-18,15,14.5,19,200
2006,2006-04-18,16,13.6,11,200
2006,2006-04-18,17,13.8,7,170
2006,2006-04-18,18,13.8,9,160
2006,2006-04-18,19,11.1,7,160
2006,2006-04-18,20,9,9,120
2006,2006-04-19,6,-1.4,6,120
2006,2006-04-19,9,7.1,7,190
2006,2006-04-19,10,10.4,6,230
2006,2006-04-19,11,11.7,7,140
2006,2006-04-19,12,14.9,13,180
2006,2006-04-19,13,16.6,13,240
2006,2006-04-19,14,16.8,9,200
2006,2006-04-19,15,17.5,9,200
2006,2006-04-19,16,18.2,11,220
2006,2006-04-19,17,18.2,11,230
2006,2006-04-19,18,16.9,7,220
2006,2006-04-19,19,12.5,7,140
2006,2006-04-20,7,5,6,150
2006,2006-04-20,10,12.7,9,200
2006,2006-04-20,13,19.9,7,150
2006,2006-04-20,14,21.1,7,200
2006,2006-04-20,15,21.5,7,150
2006,2006-04-20,16,21.8,9,220
2006,2006-04-20,17,16.4,15,350
2006,2006-04-20,18,14.9,15,340
2006,2006-04-20,19,13.1,7,360
2006,2006-04-21,10,13.1,11,150
2006,2006-04-21,11,12.2,7,30
2006,2006-04-21,12,14.8,19,160
2006,2006-04-21,13,14.7,26,190
2006,2006-04-21,14,15,22,170
2006,2006-04-21,15,15,20,160
2006,2006-04-21,16,15.8,19,180
2006,2006-04-21,17,15.4,22,160
2006,2006-04-21,18,7.7,28,330
2006,2006-04-21,19,6.6,19,320
2006,2006-04-21,20,5.8,15,20
2006,2006-04-22,7,5.7,9,320
2006,2006-04-22,8,7.2,19,350
2006,2006-04-22,9,8.4,19,30
2006,2006-04-22,10,10.2,9,290
2006,2006-04-22,11,11,7,330
2006,2006-04-22,12,12.3,11,330
2006,2006-04-22,13,13,19,320
2006,2006-04-22,14,13.9,19,280
2006,2006-04-22,15,13.4,19,300
2006,2006-04-22,16,13.9,22,300
2006,2006-04-22,17,13.8,19,330
2006,2006-04-22,18,12.4,20,310
2006,2006-04-22,19,11.2,20,10
2006,2006-04-22,20,10.1,15,350
2006,2006-04-23,5,2.2,15,350
2006,2006-04-23,6,2.2,11,340
2006,2006-04-23,7,4,15,350
2006,2006-04-23,8,6.4,15,350
2006,2006-04-23,9,8.4,15,330
2006,2006-04-23,10,10.7,15,340
2006,2006-04-23,11,12.7,15,340
2006,2006-04-23,12,14.5,13,340
2006,2006-04-23,13,16.3,13,340
2006,2006-04-23,15,18.1,9,320
2006,2006-04-23,16,18.4,9,320
2006,2006-04-23,17,17.5,9,320
2006,2006-04-23,18,15.8,9,320
2006,2006-04-24,5,2.7,15,350
2006,2006-04-24,6,3,19,350
2006,2006-04-24,7,4.9,11,340
2006,2006-04-24,8,8.2,15,360
2006,2006-04-24,9,10.2,19,350
2006,2006-04-24,10,11.9,13,340
2006,2006-04-24,11,13.8,15,360
2006,2006-04-24,12,16.4,15,340
2006,2006-04-24,13,18.6,15,340
2006,2006-04-24,14,21.2,19,320
2006,2006-04-24,15,21.8,28,30
2006,2006-04-24,16,21.5,9,60
2006,2006-04-24,17,21,28,60
2006,2006-04-24,19,15.3,7,150
2006,2006-04-25,10,14.8,6,170
2006,2006-04-25,11,17.7,15,150
2006,2006-04-25,12,19.2,19,150
2006,2006-04-25,13,20,7,150
2006,2006-04-25,14,20.5,9,150
2006,2006-04-25,15,20.6,19,150
2006,2006-04-25,16,20.3,19,150
2006,2006-04-25,17,20,19,190
2006,2006-04-25,18,18.4,19,170
2006,2006-04-25,19,16.5,19,160
2006,2006-04-25,20,15.5,6,180
2006,2006-04-26,5,7.8,11,150
2006,2006-04-26,6,7.7,9,150
2006,2006-04-26,7,9.3,9,150
2006,2006-04-26,9,14.1,9,140
2006,2006-04-26,10,17.4,19,150
2006,2006-04-26,11,18.6,19,180
2006,2006-04-26,12,19,19,150
2006,2006-04-26,13,19.2,19,150
2006,2006-04-26,14,19.7,28,120
2006,2006-04-26,15,18.8,19,200
2006,2006-04-26,16,17.9,11,270
2006,2006-04-26,17,18.6,19,240
2006,2006-04-26,18,17.3,19,290
2006,2006-04-26,19,15.9,13,320
2006,2006-04-26,20,14.1,9,340
2006,2006-04-27,10,15.9,9,150
2006,2006-04-27,13,19.5,13,200
2006,2006-04-27,14,19.7,9,120
2006,2006-04-27,15,20.3,9,270
2006,2006-04-27,17,21.1,11,220
2006,2006-04-27,19,15.7,9,350
2006,2006-04-28,11,20.4,11,170
2006,2006-04-28,12,21.9,19,170
2006,2006-04-28,13,23.6,9,200
2006,2006-04-28,14,24.9,9,210
2006,2006-04-28,15,25,11,190
2006,2006-04-28,16,25.5,13,190
2006,2006-04-28,17,25.4,13,230
2006,2006-04-28,18,23.1,11,170
2006,2006-04-28,19,21.1,9,180
2006,2006-04-29,5,8.3,9,320
2006,2006-04-29,12,24.5,19,160
2006,2006-04-29,13,23.8,19,230
2006,2006-04-29,14,18.3,19,360
2006,2006-04-29,15,20.2,22,360
2006,2006-04-29,16,20,22,10
2006,2006-04-29,17,15.8,22,350
2006,2006-04-29,18,14.8,28,10
2006,2006-04-29,19,13.8,22,350
2006,2006-04-29,20,12.9,19,340
2006,2006-04-30,6,8.2,15,20
2006,2006-04-30,7,9,19,350
2006,2006-04-30,8,9.9,13,350
2006,2006-04-30,9,12.3,26,320
2006,2006-04-30,10,14,19,310
2006,2006-04-30,11,15.4,19,360
2006,2006-04-30,12,15.4,19,360
2006,2006-04-30,13,16,11,340
2006,2006-04-30,14,17.4,19,320
2006,2006-04-30,15,17.7,11,350
2006,2006-04-30,16,18.1,15,290
2006,2006-04-30,17,17.6,11,330
2006,2006-04-30,18,13.2,22,360
2006,2006-04-30,19,10.4,22,350
2006,2006-04-30,20,9.4,13,360
2006,2006-05-01,7,5.6,7,140
2006,2006-05-01,10,9.7,6,190
2006,2006-05-01,11,8.1,19,330
2006,2006-05-01,12,8.3,19,100
2006,2006-05-01,13,10,15,60
2006,2006-05-01,14,11.6,20,20
2006,2006-05-01,15,10.8,37,300
2006,2006-05-01,16,11.9,19,340
2006,2006-05-01,17,9.7,19,340
2006,2006-05-01,18,9.7,19,320
2006,2006-05-01,19,8.2,19,320
2006,2006-05-01,20,8.9,22,320
2006,2006-05-02,5,4.7,9,350
2006,2006-05-02,6,3.9,7,160
2006,2006-05-02,7,4.7,9,160
2006,2006-05-02,8,6.2,7,170
2006,2006-05-02,10,10.2,19,340
2006,2006-05-02,11,10.9,19,340
2006,2006-05-02,12,11.5,19,310
2006,2006-05-02,13,12.5,15,350
2006,2006-05-02,14,12.8,9,270
2006,2006-05-02,15,14,9,300
2006,2006-05-02,18,13,7,330
2006,2006-05-02,19,11.9,9,330
2006,2006-05-02,20,10.3,9,330
2006,2006-05-03,5,1.1,9,320
2006,2006-05-03,6,2.4,19,350
2006,2006-05-03,7,4.8,15,320
2006,2006-05-03,8,7.3,13,340
2006,2006-05-03,9,9.8,19,330
2006,2006-05-03,10,12.1,19,340
2006,2006-05-03,11,13.9,19,340
2006,2006-05-03,12,15.4,19,340
2006,2006-05-03,13,17.6,19,290
2006,2006-05-03,14,18.3,9,310
2006,2006-05-03,15,17.5,7,350
2006,2006-05-03,16,17.5,7,350
2006,2006-05-03,17,18.6,7,260
2006,2006-05-03,18,15.7,9,10
2006,2006-05-03,19,13.8,9,330
2006,2006-05-04,8,8.3,9,330
2006,2006-05-04,9,10.6,9,360
2006,2006-05-04,10,13,9,330
2006,2006-05-04,11,15.3,11,300
2006,2006-05-04,12,17.8,9,330
2006,2006-05-04,13,19,7,320
2006,2006-05-04,14,20.1,7,350
2006,2006-05-04,15,20.9,9,290
2006,2006-05-04,16,21.7,9,310
2006,2006-05-04,17,21.4,9,350
2006,2006-05-04,18,19.3,9,340
2006,2006-05-04,19,16.4,7,290
2006,2006-05-05,12,21.8,19,170
2006,2006-05-05,13,23.2,15,210
2006,2006-05-05,14,23.3,19,200
2006,2006-05-05,15,24.1,19,210
2006,2006-05-05,16,23.2,9,180
2006,2006-05-05,17,22.7,19,180
2006,2006-05-05,18,21.3,19,180
2006,2006-05-05,19,18.8,7,150
2006,2006-05-05,20,18.2,9,150
2006,2006-05-06,7,9.2,7,170
2006,2006-05-06,8,11.4,13,160
2006,2006-05-06,9,15.1,7,150
2006,2006-05-06,10,17.9,9,260
2006,2006-05-06,11,18.3,7,260
2006,2006-05-06,12,18.9,7,320
2006,2006-05-06,13,19,9,360
2006,2006-05-06,14,19.2,13,190
2006,2006-05-06,15,18.9,19,220
2006,2006-05-06,16,18.3,19,230
