"year","epoch","hours","mean_kmh","spatial_range","calm"
2006,1,408,4.883,2.363,0.569
2006,2,408,4.646,2.328,0.603
2006,3,408,5.637,2.829,0.492
2006,4,408,4.788,2.15,0.618
2006,5,408,5.247,2.755,0.581
2006,6,408,4.722,2.214,0.641
2006,7,408,3.986,1.788,0.702
2006,8,408,4.751,2.351,0.612
2007,1,408,5.513,2.851,0.508
2007,2,408,5.115,2.479,0.573
2007,4,408,5.334,2.816,0.586
2007,5,408,4.764,2.56,0.63
2007,6,408,5.396,2.59,0.57
2007,7,408,5.546,2.84,0.527
2007,8,407,5.435,2.624,0.531
2007,9,406,5.896,3.007,0.503
2008,3,405,6.836,3.958,0.395
2008,5,406,5.969,2.755,0.468
2008,6,408,6.209,3.102,0.458
2008,7,407,5.701,2.615,0.509
2008,8,407,6.133,3.214,0.475
2008,9,407,5.335,2.652,0.571
2009,1,408,6.44,3.919,0.422
2009,2,408,5.59,2.515,0.468
2009,4,408,5.599,2.845,0.529
2009,5,407,5.103,2.54,0.581
2009,6,408,5.007,2.389,0.555
2009,7,408,5.272,2.608,0.546
2009,8,408,5.362,2.603,0.569
2009,9,408,5.416,2.475,0.526
2010,1,408,4.705,2.16,0.64
2010,2,408,6.227,3.359,0.434
2010,3,408,4.698,2.531,0.623
2010,4,406,5.782,3.308,0.508
2010,5,408,4.996,2.357,0.603
2010,6,408,4.178,1.874,0.682
2010,7,408,4.74,2.118,0.63
2010,8,408,5.358,2.619,0.525
2011,2,405,5.843,2.648,0.501
2011,4,406,5.498,3.067,0.517
2011,5,408,5.312,2.685,0.54
2011,6,407,5.604,2.966,0.514
2011,7,406,5.166,2.547,0.575
2011,8,408,5.415,2.511,0.537
2011,9,407,5.716,2.804,0.539
2013,1,408,4.636,2.105,0.604
2013,3,408,4.573,2.208,0.636
2013,4,408,4.346,2.037,0.677
2013,5,408,4.68,2.328,0.646
2013,6,408,4.066,1.881,0.715
2013,7,408,3.873,1.772,0.735
2013,8,408,3.961,1.963,0.726
2014,1,408,4.177,1.877,0.698
2014,2,408,4.189,2.096,0.718
2014,3,408,4.707,2.275,0.613
2014,4,408,4.918,2.672,0.613
2014,5,408,4.847,2.468,0.625
2014,6,408,4.601,2.149,0.658
2014,7,408,3.942,1.864,0.732
2014,8,408,3.65,1.725,0.751
