"year","epoch","start","end","valid_cells","prevalence"
2006,1,"2006-05-01","2006-05-17",48329,0.0349
2006,2,"2006-05-17","2006-06-02",16703,0.0611
2006,3,"2006-06-02","2006-06-18",9426,0.1672
2006,4,"2006-06-18","2006-07-04",18568,0.0749
2006,5,"2006-07-04","2006-07-20",55107,0.1062
2006,6,"2006-07-20","2006-08-05",41218,0.0593
2006,7,"2006-08-05","2006-08-21",46263,0.0378
2006,8,"2006-08-21","2006-09-06",60102,0.0721
2007,1,"2007-05-01","2007-05-17",50919,0.0637
2007,2,"2007-05-17","2007-06-02",3891,0.0216
2007,4,"2007-06-18","2007-07-04",1811,0.1408
2007,5,"2007-07-04","2007-07-20",56511,0.0829
2007,6,"2007-07-20","2007-08-05",41218,0.1216
2007,7,"2007-08-05","2007-08-21",61246,0.0709
2007,8,"2007-08-21","2007-09-06",35655,0.0887
2007,9,"2007-09-06","2007-09-22",2757,0.2009
2008,3,"2008-06-01","2008-06-17",9932,0.471
2008,5,"2008-07-03","2008-07-19",15069,0.0713
2008,6,"2008-07-19","2008-08-04",6293,0.0591
2008,7,"2008-08-04","2008-08-20",53059,0.0701
2008,8,"2008-08-20","2008-09-05",9279,0.0743
2008,9,"2008-09-05","2008-09-21",2757,0.1016
2009,1,"2009-05-01","2009-05-17",17062,0.0765
2009,2,"2009-05-17","2009-06-02",37124,0.1158
2009,4,"2009-06-18","2009-07-04",18566,0.0861
2009,5,"2009-07-04","2009-07-20",56511,0.123
2009,6,"2009-07-20","2009-08-05",35156,0.0899
2009,7,"2009-08-05","2009-08-21",61246,0.0851
2009,8,"2009-08-21","2009-09-06",35147,0.2983
2009,9,"2009-09-06","2009-09-22",2757,0.1386
2010,1,"2010-05-01","2010-05-17",13007,0.08
2010,2,"2010-05-17","2010-06-02",4772,0.2624
2010,3,"2010-06-02","2010-06-18",1177,0.1631
2010,4,"2010-06-18","2010-07-04",9106,0.2796
2010,5,"2010-07-04","2010-07-20",17158,0.2053
2010,6,"2010-07-20","2010-08-05",2112,0.2803
2010,7,"2010-08-05","2010-08-21",59387,0.0969
2010,8,"2010-08-21","2010-09-06",8618,0.2329
2011,2,"2011-05-17","2011-06-02",14102,0.0481
2011,4,"2011-06-18","2011-07-04",8606,0.1413
2011,5,"2011-07-04","2011-07-20",53179,0.1873
2011,6,"2011-07-20","2011-08-05",32384,0.1235
2011,7,"2011-08-05","2011-08-21",61246,0.1094
2011,8,"2011-08-21","2011-09-06",60102,0.139
2011,9,"2011-09-06","2011-09-22",2757,0.1821
2013,1,"2013-05-01","2013-05-17",29392,0.0567
2013,3,"2013-06-02","2013-06-18",5899,0.347
2013,4,"2013-06-18","2013-07-04",12760,0.2479
2013,5,"2013-07-04","2013-07-20",45303,0.1738
2013,6,"2013-07-20","2013-08-05",39873,0.1913
2013,7,"2013-08-05","2013-08-21",43605,0.3074
2013,8,"2013-08-21","2013-09-06",59452,0.2622
2014,1,"2014-05-01","2014-05-17",53035,0.078
2014,2,"2014-05-17","2014-06-02",9048,0.0536
2014,3,"2014-06-02","2014-06-18",1184,0.5
2014,4,"2014-06-18","2014-07-04",18286,0.2119
2014,5,"2014-07-04","2014-07-20",44890,0.1548
2014,6,"2014-07-20","2014-08-05",3027,0.3218
2014,7,"2014-08-05","2014-08-21",56249,0.1612
2014,8,"2014-08-21","2014-09-06",2275,0.4791
