"from","to","radius_m","r"
2006,2007,90,0.488
2006,2007,210,0.4718
2006,2007,510,0.3525
2006,2007,1050,0.2209
2006,2007,2010,0.1193
2007,2008,90,0.4465
2007,2008,210,0.4279
2007,2008,510,0.384
2007,2008,1050,0.3058
2007,2008,2010,0.2212
2008,2009,90,0.4817
2008,2009,210,0.4541
2008,2009,510,0.3809
2008,2009,1050,0.3335
2008,2009,2010,0.2614
2009,2010,90,0.6562
2009,2010,210,0.6177
2009,2010,510,0.5245
2009,2010,1050,0.4416
2009,2010,2010,0.3455
2010,2011,90,0.7208
2010,2011,210,0.6903
2010,2011,510,0.5878
2010,2011,1050,0.4614
2010,2011,2010,0.3647
2011,2013,90,0.6692
2011,2013,210,0.6238
2011,2013,510,0.5225
2011,2013,1050,0.3954
2011,2013,2010,0.2573
2013,2014,90,0.7691
2013,2014,210,0.707
2013,2014,510,0.5825
2013,2014,1050,0.4604
2013,2014,2010,0.3531
