"from","to","radius_m","r"
2006,2007,90,0.2694
2006,2007,210,0.2412
2006,2007,510,0.2024
2006,2007,1050,0.1275
2006,2007,2010,0.0764
2007,2008,90,0.2338
2007,2008,210,0.2141
2007,2008,510,0.2029
2007,2008,1050,0.2103
2007,2008,2010,0.1914
2008,2009,90,0.2179
2008,2009,210,0.1835
2008,2009,510,0.1687
2008,2009,1050,0.1819
2008,2009,2010,0.1736
2009,2010,90,0.4261
2009,2010,210,0.3548
2009,2010,510,0.2914
2009,2010,1050,0.2654
2009,2010,2010,0.2159
2010,2011,90,0.4169
2010,2011,210,0.3894
2010,2011,510,0.3389
2010,2011,1050,0.2983
2010,2011,2010,0.2525
2011,2013,90,0.5265
2011,2013,210,0.4844
2011,2013,510,0.3796
2011,2013,1050,0.2742
2011,2013,2010,0.1304
2013,2014,90,0.643
2013,2014,210,0.5674
2013,2014,510,0.4363
2013,2014,1050,0.3392
2013,2014,2010,0.228
