FID_1,Name,FID_2,Classname,Classvalue,RED,GREEN,BLUE,Count,2020B1Aero,2020B2Blue,2020B3Gree,2020B4Red,2020B5NIR,2020B6SW1,2020B7SW2,2020CHI_cp,2020TASWET,2020TASGRE,2020TASBRI,2020RGI_cp,2020MSI1_c,2020MSI_cp,2020NDMI_c
100,,0,Class 1,1,46,18,155,3,8416,7618,6759,6166,8006,7196,6143,1,-3.46873e+03,8.14220e+03,1.56792e+04,0,0,0,14171
101,,0,Class 1,1,46,18,155,3,8416,7618,6759,6166,8006,7196,6143,1,-3.46873e+03,8.14220e+03,1.56792e+04,0,0,0,14171
102,,0,Class 1,1,46,18,155,3,8424,7660,6837,6282,8765,7715,6490,1,-3.68237e+03,8.23318e+03,1.59123e+04,0,0,0,15046
103,,0,Class 1,1,46,18,155,3,8424,7660,6837,6282,8765,7715,6490,1,-3.68237e+03,8.23318e+03,1.59123e+04,0,0,0,15046
104,,1,Class 2,2,116,130,243,2,8409,7662,6893,6275,9326,7789,6433,1,-3.66948e+03,8.26648e+03,1.59413e+04,0,0,0,15600
105,,1,Class 2,2,116,130,243,2,8409,7662,6893,6275,9326,7789,6433,1,-3.66948e+03,8.26648e+03,1.59413e+04,0,0,0,15600
106,,1,Class 2,2,116,130,243,2,8470,7742,7048,6496,10123,8495,6868,1,-3.93931e+03,8.46833e+03,1.63481e+04,0,0,0,16618
107,,1,Class 2,2,116,130,243,2,8470,7742,7048,6496,10123,8495,6868,1,-3.93931e+03,8.46833e+03,1.63481e+04,0,0,0,16618
96,,2,Class 3,3,98,198,228,3,8522,7769,7029,6510,9372,8308,6876,1,-3.92784e+03,8.46819e+03,1.63633e+04,0,0,0,15881
97,,2,Class 3,3,98,198,228,3,8549,7831,7162,6610,10332,8885,7081,1,-4.07302e+03,8.59675e+03,1.66143e+04,0,0,0,16941
98,,2,Class 3,3,98,198,228,3,8516,7787,7029,6511,9921,8047,6727,1,-3.83321e+03,8.49656e+03,1.63359e+04,0,0,0,16431
99,,2,Class 3,3,98,198,228,3,8562,7798,7048,6574,9231,8492,7013,1,-4.00125e+03,8.51034e+03,1.64683e+04,0,0,0,15804
88,,3,Class 4,4,95,93,51,3,8582,7861,7080,6566,9231,8674,7074,1,-4.03828e+03,8.52551e+03,1.65357e+04,0,0,0,15796
89,,3,Class 4,4,95,93,51,3,8564,7821,7078,6583,9636,8614,7024,1,-4.01293e+03,8.53686e+03,1.65119e+04,0,0,0,16218
90,,3,Class 4,4,95,93,51,3,8511,7713,6957,6355,10173,7726,6438,1,-3.66997e+03,8.35889e+03,1.60857e+04,0,0,0,16527
91,,3,Class 4,4,95,93,51,3,8564,7807,7011,6489,9548,7945,6617,1,-3.75729e+03,8.48406e+03,1.63004e+04,0,0,0,16036
92,,4,Class 5,5,159,116,193,3,8545,7775,7067,6549,10061,8506,6905,1,-3.95148e+03,8.51172e+03,1.64324e+04,0,0,0,16609
93,,4,Class 5,5,159,116,193,3,8525,7772,7064,6489,10249,8317,6770,1,-3.87869e+03,8.48448e+03,1.63590e+04,0,0,0,16737
94,,4,Class 5,5,159,116,193,3,8539,7750,7008,6482,9323,8277,6821,1,-3.89423e+03,8.43546e+03,1.63120e+04,0,0,0,15804
95,,4,Class 5,5,159,116,193,3,8504,7753,7055,6498,10370,8465,6886,1,-3.94929e+03,8.46842e+03,1.63709e+04,0,0,0,16867
84,,5,Class 6,6,215,188,102,3,8486,7713,7030,6389,10306,8251,6657,1,-3.82616e+03,8.39426e+03,1.62137e+04,0,0,0,16694
85,,5,Class 6,6,215,188,102,3,8505,7749,7073,6456,10492,8422,6785,1,-3.90173e+03,8.45728e+03,1.63377e+04,0,0,0,16947
86,,5,Class 6,6,215,188,102,3,8507,7749,7039,6488,9973,8322,6880,1,-3.94201e+03,8.45185e+03,1.63489e+04,0,0,0,16460
87,,5,Class 6,6,215,188,102,3,8511,7778,7065,6452,10356,8609,6872,1,-3.94650e+03,8.44479e+03,1.63618e+04,0,0,0,16807
40,,6,Class 7,7,42,17,166,3,8570,7831,7122,6543,10163,8709,6954,1,-3.99063e+03,8.53880e+03,1.65162e+04,0,0,0,16705
41,,6,Class 7,7,42,17,166,3,8459,7680,6976,6318,9951,7994,6542,1,-3.75474e+03,8.32289e+03,1.60805e+04,0,0,0,16268
42,,6,Class 7,7,42,17,166,3,8549,7815,7162,6615,10149,9065,7226,1,-4.16403e+03,8.57524e+03,1.66439e+04,0,0,0,16763
43,,6,Class 7,7,42,17,166,3,8474,7730,7004,6396,9953,8260,6742,1,-3.86428e+03,8.38141e+03,1.62194e+04,0,0,0,16348
60,,7,Class 8,8,174,140,207,3,8496,7774,7159,6625,10372,8951,7143,1,-4.12058e+03,8.59064e+03,1.66001e+04,0,0,0,16996
61,,7,Class 8,8,174,140,207,3,8537,7812,6997,6547,9344,8481,6966,1,-3.95591e+03,8.47848e+03,1.63986e+04,0,0,0,15890
62,,7,Class 8,8,174,140,207,3,8545,7841,7139,6651,10495,8808,7110,1,-4.07378e+03,8.61721e+03,1.66279e+04,0,0,0,17145
63,,7,Class 8,8,174,140,207,3,8553,7829,7137,6663,10165,8984,7294,1,-4.18571e+03,8.59448e+03,1.66721e+04,0,0,0,16827
64,,8,Class 9,9,96,153,109,3,8470,7718,7050,6489,9929,8328,6753,1,-3.87577e+03,8.47363e+03,1.63093e+04,0,0,0,16417
65,,8,Class 9,9,96,153,109,3,8407,7634,6922,6298,10445,7665,6324,1,-3.61569e+03,8.30724e+03,1.59424e+04,0,0,0,16742
66,,8,Class 9,9,96,153,109,3,8468,7734,7049,6516,10299,8417,6875,1,-3.94245e+03,8.48176e+03,1.63583e+04,0,0,0,16814
67,,8,Class 9,9,96,153,109,3,8516,7781,7176,6655,11067,8726,7046,1,-4.06079e+03,8.63564e+03,1.66166e+04,0,0,0,17721
68,,9,Class 10,10,196,31,154,3,8426,7713,7049,6388,10973,8047,6484,1,-3.72956e+03,8.43748e+03,1.61775e+04,0,0,0,17360
69,,9,Class 10,10,196,31,154,3,8402,7647,6868,6267,9631,7486,6292,1,-3.57861e+03,8.26507e+03,1.58750e+04,0,0,0,15897
70,,9,Class 10,10,196,31,154,3,8450,7708,6979,6468,9806,8264,6798,1,-3.88296e+03,8.41579e+03,1.62380e+04,0,0,0,16273
71,,9,Class 10,10,196,31,154,3,8444,7702,7043,6517,9864,8306,6839,1,-3.92530e+03,8.47962e+03,1.63272e+04,0,0,0,16380
72,,10,Class 11,11,215,36,82,2,8365,7586,6810,6267,9085,7490,6327,1,-3.59200e+03,8.22011e+03,1.58000e+04,0,0,0,15351
73,,10,Class 11,11,215,36,82,2,8354,7576,6838,6224,9556,7525,6260,1,-3.57066e+03,8.20842e+03,1.57777e+04,0,0,0,15779
74,,10,Class 11,11,215,36,82,2,8405,7675,6962,6411,9804,7985,6591,1,-3.76738e+03,8.38998e+03,1.61200e+04,0,0,0,16214
75,,10,Class 11,11,215,36,82,2,8346,7618,6945,6340,9971,7783,6424,1,-3.68376e+03,8.34275e+03,1.59904e+04,0,0,0,16310
76,,11,Class 12,12,75,236,222,2,8356,7609,6875,6295,9714,7600,6351,1,-3.62191e+03,8.27889e+03,1.58855e+04,0,0,0,16008
77,,11,Class 12,12,75,236,222,2,8351,7600,6880,6357,9692,7808,6481,1,-3.69527e+03,8.31005e+03,1.59506e+04,0,0,0,16048
78,,11,Class 12,12,75,236,222,2,8384,7666,6939,6393,9765,8073,6589,1,-3.76299e+03,8.36545e+03,1.60813e+04,0,0,0,16157
79,,11,Class 12,12,75,236,222,2,8397,7671,6961,6471,9426,8381,6825,1,-3.90146e+03,8.40345e+03,1.62042e+04,0,0,0,15896
80,,12,Class 13,13,203,166,34,2,8306,7593,6940,6284,10827,7608,6279,1,-3.60856e+03,8.31615e+03,1.59020e+04,0,0,0,17110
81,,12,Class 13,13,203,166,34,2,8357,7600,6890,6199,10372,7485,6208,1,-3.55720e+03,8.22805e+03,1.58069e+04,0,0,0,16570
82,,12,Class 13,13,203,166,34,2,8447,7723,7099,6584,11180,8534,6895,1,-3.96524e+03,8.55781e+03,1.64364e+04,0,0,0,17763
83,,12,Class 13,13,203,166,34,2,8335,7621,6924,6262,10842,7540,6261,1,-3.58857e+03,8.29663e+03,1.58889e+04,0,0,0,17103
56,,13,Class 14,14,249,145,190,3,8376,7639,7073,6392,11711,8092,6515,1,-3.77328e+03,8.43517e+03,1.61668e+04,0,0,0,18102
57,,13,Class 14,14,249,145,190,3,8406,7674,7146,6471,11848,8494,6755,1,-3.92633e+03,8.50429e+03,1.63512e+04,0,0,0,18318
58,,13,Class 14,14,249,145,190,3,8351,7628,6984,6410,10422,8287,6708,1,-3.85836e+03,8.37853e+03,1.61349e+04,0,0,0,16831
59,,13,Class 14,14,249,145,190,3,8430,7728,7261,6708,11522,9396,7330,1,-4.27074e+03,8.67746e+03,1.67464e+04,0,0,0,18229
44,,14,Class 15,15,16,33,127,3,8412,7646,6878,6183,10028,7426,6109,1,-3.48379e+03,8.22789e+03,1.57949e+04,0,0,0,16210
45,,14,Class 15,15,16,33,127,3,8449,7685,7034,6327,10500,8081,6521,1,-3.76127e+03,8.36471e+03,1.61311e+04,0,0,0,16826
46,,14,Class 15,15,16,33,127,3,8448,7680,6970,6319,9956,8078,6576,1,-3.77348e+03,8.31757e+03,1.60815e+04,0,0,0,16274
47,,14,Class 15,15,16,33,127,3,8467,7695,6966,6317,10264,7836,6432,1,-3.68072e+03,8.33601e+03,1.60538e+04,0,0,0,16580
12,,15,Class 16,16,33,244,37,3,8465,7688,7114,6466,11199,8385,6710,1,-3.88309e+03,8.48552e+03,1.63281e+04,0,0,0,17664
13,,15,Class 16,16,33,244,37,3,8387,7594,6954,6327,10342,7956,6550,1,-3.76969e+03,8.30532e+03,1.60181e+04,0,0,0,16668
14,,15,Class 16,16,33,244,37,3,8391,7623,6991,6327,10377,8065,6531,1,-3.76581e+03,8.33386e+03,1.60586e+04,0,0,0,16703
15,,15,Class 16,16,33,244,37,3,8393,7624,6993,6314,10802,8084,6531,1,-3.76835e+03,8.32449e+03,1.60537e+04,0,0,0,17115
108,,16,Class 17,17,192,162,134,2,9180,8655,8545,8453,12300,11264,9284,1,-5.45091e+03,1.05553e+04,1.98466e+04,0,0,0,20752
109,,16,Class 17,17,192,162,134,2,9189,8701,8476,8348,13817,12210,9929,1,-5.82654e+03,1.03561e+04,1.98962e+04,0,0,0,22164
110,,16,Class 17,17,192,162,134,2,8391,7729,6867,6321,10517,8123,6644,1,-3.76844e+03,8.28143e+03,1.60180e+04,0,0,0,16837
111,,16,Class 17,17,192,162,134,2,8377,7693,7215,6649,11502,8860,7273,1,-4.23703e+03,8.61478e+03,1.66343e+04,0,0,0,18150
52,,17,Class 18,18,66,223,41,3,8600,7928,7514,7048,11982,10969,8406,1,-4.92181e+03,8.94584e+03,1.75260e+04,0,0,0,19029
53,,17,Class 18,18,66,223,41,3,8619,7943,7543,7083,12222,11116,8409,1,-4.92518e+03,8.98869e+03,1.75819e+04,0,0,0,19304
54,,17,Class 18,18,66,223,41,3,8801,8156,7828,7534,12715,12345,9314,1,-5.46294e+03,9.38747e+03,1.84213e+04,0,0,0,20248
55,,17,Class 18,18,66,223,41,3,8683,8010,7585,7202,12251,11354,8587,1,-5.01495e+03,9.08680e+03,1.77684e+04,0,0,0,19452
48,,18,Class 19,19,186,5,15,3,8449,7702,7127,6485,11066,8907,6999,1,-4.05910e+03,8.47174e+03,1.64194e+04,0,0,0,17550
49,,18,Class 19,19,186,5,15,3,8614,7913,7342,6887,11421,10269,7979,1,-4.62550e+03,8.78838e+03,1.71831e+04,0,0,0,18307
50,,18,Class 19,19,186,5,15,3,8473,7730,7188,6525,11349,9072,7160,1,-4.16726e+03,8.51438e+03,1.65487e+04,0,0,0,17873
51,,18,Class 19,19,186,5,15,3,8720,8039,7539,7153,11948,11078,8571,1,-4.98892e+03,9.02975e+03,1.77164e+04,0,0,0,19100
8,,19,Class 20,20,58,138,103,2,8772,8053,7611,7256,12345,10821,8441,1,-4.91529e+03,9.16148e+03,1.78243e+04,0,0,0,19600
9,,19,Class 20,20,58,138,103,2,8640,7927,7357,6889,11051,9947,7893,1,-4.57455e+03,8.80958e+03,1.71885e+04,0,0,0,17939
10,,19,Class 20,20,58,138,103,2,8623,7869,7116,6549,10201,9065,7273,1,-4.17298e+03,8.49669e+03,1.66145e+04,0,0,0,16749
11,,19,Class 20,20,58,138,103,2,8549,7766,7007,6439,9806,8678,7082,1,-4.05661e+03,8.36599e+03,1.63552e+04,0,0,0,16244
