"plot","pi_mpb_killed","easting","northing","severity","source","worst_year","dndmi_min","on_water"
1,15.0241928019693,523245,5447295,"moderate","field",2014,-0.135290063917637,FALSE
2,39.7510178591308,522855,5447565,"high","field",2014,-0.520142570137978,FALSE
3,37.2124167088095,523125,5447145,"high","field",2014,-0.121176078915596,FALSE
4,24.519410957203,523005,5447445,"moderate","field",2014,-0.245319195091724,FALSE
5,6.64870741023682,524265,5446245,"low","field",2014,-0.256546020507812,FALSE
6,6.32572524120759,523545,5446455,"low","field",2008,-0.404660329222679,FALSE
7,4.79519411651529,523485,5446785,"low","field",2008,-0.471963256597519,FALSE
8,2.70762737854738,523155,5445885,"low","field",2014,-0.38268774561584,FALSE
9,2.40276885946298,522915,5447445,"low","field",2010,-0.36317352950573,FALSE
10,9.18144193758311,523005,5447745,"moderate","field",2010,-0.140122568234801,FALSE
11,1.58222089522678,522945,5447325,"low","field",2010,-0.325870499014854,FALSE
12,1.3616191353309,523155,5447745,"low","field",2009,-0.105382397770882,FALSE
13,11.578429154288,523425,5447265,"moderate","field",2010,-0.0844800472259521,FALSE
14,12.2775414763885,523245,5447055,"moderate","field",2014,-0.213430866599083,FALSE
15,0.622957484084543,523005,5446935,"low","field",2010,-0.172713652253151,FALSE
16,8.94947148798914,523305,5445915,"low","field",2014,-0.0709477365016937,FALSE
17,34.6738155584882,523575,5446365,"high","field",2008,-0.132237307727337,FALSE
18,26.7821906400317,523395,5445945,"moderate","field",2014,-0.142391517758369,FALSE
19,42.2896190094521,523065,5447325,"high","field",2014,-0.245937582105398,FALSE
20,32.1352144081669,523485,5446365,"high","field",2010,-0.0715299174189568,FALSE
21,27.0580121075243,523635,5446725,"high","field",2008,-0.345587998628616,FALSE
22,29.5966132578456,523395,5446125,"high","field",2014,-0.189749822020531,FALSE
23,15.6960379933792,523605,5447055,"moderate","field",2014,-0.095147430896759,FALSE
24,12.4474495204142,523725,5447025,"moderate","field",2008,-0.0647952817380428,FALSE
25,10.4631284723991,523305,5446005,"moderate","field",2014,-0.129452630877495,FALSE
26,47.3668213100947,523935,5446875,"high","field",2008,-0.0921733621507883,FALSE
27,44.8282201597734,523395,5446035,"high","field",2014,-0.148081637918949,FALSE
28,1.17537001725943,523725,5446665,"low","field",2014,-0.133577220141888,FALSE
NA,NA,521175,5442495,"unaffected","derived",2009,0.00246858596801758,FALSE
NA,NA,520695,5441835,"unaffected","derived",2006,-0.00815758109092712,FALSE
NA,NA,522645,5446275,"unaffected","derived",2008,-0.0328986346721649,FALSE
NA,NA,522225,5451735,"unaffected","derived",2010,-0.00918936729431152,FALSE
NA,NA,521325,5443965,"unaffected","derived",2010,-0.0100462734699249,FALSE
NA,NA,524055,5446635,"unaffected","derived",2006,-0.0431389808654785,FALSE
NA,NA,521355,5445645,"unaffected","derived",2008,-0.0231523215770721,FALSE
NA,NA,522465,5444475,"unaffected","derived",2009,0.00524643063545227,FALSE
NA,NA,524715,5444265,"unaffected","derived",2007,-0.01895472407341,FALSE
NA,NA,521325,5443545,"unaffected","derived",2009,-0.0303962528705597,FALSE
