"year","term","m0","m1","p_m1","retained"
2006,"elevation",0.244,-0.792,7.6e-22,-3.25
2006,"slope",-0.716,-0.279,0.045,0.39
2006,"northness",0.063,0.039,0.016,0.62
2006,"eastness",-0.015,0.024,0.18,-1.6
2006,"TRI",0.064,0.018,0.89,0.28
2006,"TPI",-0.047,-0.077,1.2e-05,1.64
2006,"twi",0.525,0.204,2.7e-11,0.39
2006,"exposure",0.17,0.042,0.013,0.25
2007,"elevation",0.174,-0.82,8.3e-25,-4.71
2007,"slope",-1.314,-0.761,1.2e-08,0.58
2007,"northness",0.018,-0.01,0.54,-0.56
2007,"eastness",-0.117,-0.086,5.3e-07,0.74
2007,"TRI",0.675,0.526,3.6e-05,0.78
2007,"TPI",-0.031,-0.057,0.00086,1.84
2007,"twi",0.3,0.009,0.74,0.03
2007,"exposure",0.23,0.099,3.4e-09,0.43
2008,"elevation",0.27,-0.916,9.4e-43,-3.39
2008,"slope",-0.491,-0.26,0.023,0.53
2008,"northness",0.096,0.075,1.8e-06,0.78
2008,"eastness",-0.072,-0.048,0.0026,0.67
2008,"TRI",0.237,0.227,0.037,0.96
2008,"TPI",0.016,-0.027,0.094,-1.69
2008,"twi",0.306,0.095,2e-04,0.31
2008,"exposure",0.062,0.035,0.029,0.56
2009,"elevation",-0.028,-0.52,1.3e-13,18.57
2009,"slope",-0.618,-0.263,0.037,0.43
2009,"northness",-0.215,-0.21,5.1e-40,0.98
2009,"eastness",-0.166,-0.152,2.8e-20,0.92
2009,"TRI",0.28,0.197,0.1,0.7
2009,"TPI",-0.043,-0.067,4.3e-05,1.56
2009,"twi",0.257,0.064,0.021,0.25
2009,"exposure",0.325,0.248,6.4e-52,0.76
2010,"elevation",0.494,-0.241,0.00015,-0.49
2010,"slope",-0.402,-0.175,0.14,0.44
2010,"northness",0.03,0.026,0.092,0.87
2010,"eastness",-0.156,-0.133,1.3e-16,0.85
2010,"TRI",0.094,0.085,0.45,0.9
2010,"TPI",0.026,-0.01,0.55,-0.38
2010,"twi",0.316,0.115,4.6e-06,0.36
2010,"exposure",0.148,0.09,2.6e-08,0.61
2011,"elevation",0.017,-0.791,1.6e-24,-46.53
2011,"slope",-0.418,-0.007,0.96,0.02
2011,"northness",-0.24,-0.244,2.4e-49,1.02
2011,"eastness",-0.257,-0.244,3.9e-44,0.95
2011,"TRI",-0.061,-0.191,0.17,3.13
2011,"TPI",0.008,-0.007,0.68,-0.88
2011,"twi",0.369,0.16,1.8e-07,0.43
2011,"exposure",0.464,0.384,2.2e-108,0.83
2013,"elevation",-0.082,-1.274,2.1e-47,15.54
2013,"slope",0.123,0.475,0.0025,3.86
2013,"northness",-0.091,-0.113,6.4e-11,1.24
2013,"eastness",-0.418,-0.367,9.3e-80,0.88
2013,"TRI",-0.601,-0.593,8e-05,0.99
2013,"TPI",0.046,0.003,0.87,0.07
2013,"twi",0.93,0.544,4.6e-46,0.58
2013,"exposure",0.469,0.357,2.5e-85,0.76
2014,"elevation",0.279,-1.065,3.3e-41,-3.82
2014,"slope",-0.22,0.173,0.21,-0.79
2014,"northness",-0.035,-0.049,0.0031,1.4
2014,"eastness",-0.306,-0.245,1.3e-42,0.8
2014,"TRI",-0.213,-0.248,0.059,1.16
2014,"TPI",0.11,0.054,0.0022,0.49
2014,"twi",0.872,0.486,9.6e-49,0.56
2014,"exposure",0.352,0.262,2.8e-52,0.74
