"model","term","beta","se","z","p"
"terrain_host","(Intercept)",0.0385,0.056,0.69,0.491
"terrain_host","elevation",-0.7845,0.0261,-30.06,1.74e-198
"terrain_host","slope",-0.1795,0.0456,-3.93,8.42e-05
"terrain_host","northness",-0.0536,0.0056,-9.54,1.44e-21
"terrain_host","eastness",-0.1448,0.006,-24.26,4.98e-130
"terrain_host","TRI",0.049,0.0436,1.13,0.26
"terrain_host","TPI",-0.0215,0.0059,-3.64,0.000274
"terrain_host","twi",0.188,0.0103,18.26,1.86e-74
"terrain_host","exposure",0.1768,0.0058,30.49,3.14e-204
"terrain_host","pinu_con",0.2771,0.0109,25.33,1.57e-141
"terrain_host","pinu_con_frac",-0.1149,0.0081,-14.21,8.01e-46
"terrain_host","conifer_total",-0.6737,0.0105,-63.94,0
"plus_wind","(Intercept)",0.0298,0.0561,0.53,0.595
"plus_wind","elevation",-0.7849,0.0261,-30.06,1.43e-198
"plus_wind","slope",-0.1788,0.0456,-3.92,8.92e-05
"plus_wind","northness",-0.0527,0.0056,-9.38,6.39e-21
"plus_wind","eastness",-0.1399,0.006,-23.28,6.96e-120
"plus_wind","TRI",0.0481,0.0436,1.1,0.27
"plus_wind","TPI",-0.0216,0.0059,-3.66,0.000254
"plus_wind","twi",0.1876,0.0103,18.21,4.71e-74
"plus_wind","exposure",0.1769,0.0058,30.5,2.92e-204
"plus_wind","pinu_con",0.2806,0.011,25.62,9.51e-145
"plus_wind","pinu_con_frac",-0.1154,0.0081,-14.27,3.15e-46
"plus_wind","conifer_total",-0.6774,0.0106,-64.2,0
"plus_wind","flight_mean",0.1387,0.0199,6.98,3.06e-12
"plus_wind","flight_calm",0.1054,0.0153,6.88,5.78e-12
"plus_wind","flight_p95",-0.0373,0.0103,-3.62,0.000292
"plus_interactions","(Intercept)",0.0183,0.0561,0.33,0.745
"plus_interactions","elevation",-0.7854,0.0261,-30.08,8.94e-199
"plus_interactions","slope",-0.1768,0.0457,-3.87,0.000108
"plus_interactions","northness",-0.0538,0.0056,-9.58,9.83e-22
"plus_interactions","eastness",-0.1448,0.006,-24.23,9.78e-130
"plus_interactions","TRI",0.0477,0.0436,1.09,0.274
"plus_interactions","TPI",-0.0215,0.0059,-3.64,0.000268
"plus_interactions","twi",0.1887,0.0103,18.32,5.98e-75
"plus_interactions","exposure",0.176,0.0058,30.3,1.26e-201
"plus_interactions","pinu_con",0.2769,0.0109,25.31,2.62e-141
"plus_interactions","pinu_con_frac",-0.1151,0.0081,-14.23,6.36e-46
"plus_interactions","conifer_total",-0.6747,0.0105,-64,0
"plus_interactions","flight_calm",-0.0016,0.0056,-0.28,0.779
"plus_interactions","exposure:flight_calm",0.0652,0.0054,12.12,8.46e-34
"plus_interactions","TRI:flight_calm",-0.0226,0.0062,-3.65,0.000264
