"network","station_id","winter_year","month","n_days","mean_temp_c","mean_daily_min_c","mean_daily_max_c","min_temp_c","total_precip_mm","warm_fail","short","station_name","elevation_m"
"BCWS","838",2003,1,1,-5.7,-5.7,-5.7,-5.7,0,FALSE,TRUE,"AKOKLI CREEK",821
"BCWS","838",2004,1,31,-2.9,-4.38,-0.64,-19.4,69.2,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2004,2,29,0.06,-1.96,3.71,-7.2,19.2,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2004,12,31,-2.1,-3.64,0.35,-8.7,42.6,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2005,1,31,-3.38,-4.89,-0.88,-16.9,52.6,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2005,2,27,-0.1,-3.05,4.64,-7.5,5.1,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2005,12,31,-0.16,-1.58,1.72,-5.9,64.3,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2006,1,31,1.27,-0.13,3.04,-3.2,98.5,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2006,2,28,-1.86,-4.23,1.35,-16.7,39,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2006,12,30,-1.13,-2.22,0.14,-11.4,61.6,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2007,1,31,-3.97,-5.66,-1.64,-13.3,63,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2007,2,27,-0.2,-1.76,2.45,-7.2,38.6,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2007,12,31,-2.15,-3.53,-0.38,-8.1,34.2,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2008,1,19,-2.33,-3.57,-0.71,-9.2,28.8,FALSE,TRUE,"AKOKLI CREEK",821
"BCWS","838",2008,2,21,-0.98,-2.99,2.2,-6.7,36,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2008,12,22,-2.86,-4.09,-0.9,-6.6,21,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2009,1,31,-3.16,-4.86,-0.84,-12.6,69.2,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2009,2,28,-1.02,-3.31,2.46,-5.8,18.8,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2009,12,31,-5.47,-7.26,-3.1,-17.1,14.6,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2010,1,31,-0.68,-2.13,1.4,-10.6,54,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2010,2,28,1.73,-0.18,4.64,-3.8,12.6,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2010,12,31,-5.23,-7.05,-2.84,-14.2,37.8,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2011,1,31,-2.37,-4.22,-0.08,-14.3,79.8,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2011,2,28,-3.44,-6.18,0.21,-17.5,28.2,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2011,12,31,-2.13,-3.82,0.12,-11.9,69.2,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2012,1,31,-1.94,-4.09,0.78,-10.1,57,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2012,2,29,-0.74,-2.85,2.84,-9.4,32.6,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2012,12,31,-1.26,-2.97,1.07,-7,30.8,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2013,1,31,-2.47,-3.84,-0.33,-9.7,36.6,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2013,2,28,0.59,-1.28,3.4,-3.3,14,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2013,12,31,-0.7,-1.92,1,-5.6,40.4,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2014,1,31,-1.08,-2.45,1.04,-7.1,40.8,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2014,2,28,-4.17,-7.1,-0.15,-17.6,39,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2014,12,31,-3.59,-5.28,-1.56,-16.4,60.6,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2015,1,31,-1.31,-2.77,0.8,-10,48,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2015,2,28,2.11,-0.09,5.66,-5.1,72.2,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","838",2015,12,31,-1.22,-2.83,0.87,-12.5,42.4,FALSE,FALSE,"AKOKLI CREEK",821
"BCWS","1203",2015,1,31,-4.28,-7.11,-0.25,-17.4,72,FALSE,FALSE,"DARKWOODS",1657
"BCWS","1203",2015,2,28,-1.71,-4.52,1.76,-11.8,119.6,FALSE,FALSE,"DARKWOODS",1657
"BCWS","1203",2015,12,31,-5.27,-7.75,-2.02,-20.9,73.4,FALSE,FALSE,"DARKWOODS",1657
"BCWS","1203",2016,12,30,-6.37,-8.58,-3.53,-17.6,53.8,FALSE,FALSE,"DARKWOODS",1657
"BCWS","421",1998,1,31,-6.67,-9.53,-2.06,-20,0,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",1998,2,14,-4.19,-7.4,-0.11,-12.5,33.6,FALSE,TRUE,"DEWAR CREEK",1608
"BCWS","421",1999,12,18,-5.19,-7.88,-2.41,-14.6,1.2,FALSE,TRUE,"DEWAR CREEK",1608
"BCWS","421",2001,1,31,-6.76,-9.96,-1.99,-14.8,24.1,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2001,2,28,-7.92,-12.18,-2.58,-19.6,30.9,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2001,12,31,-8.92,-12.66,-3.82,-19.9,15.3,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2002,1,31,-7.01,-9.88,-3.07,-18.6,0,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2002,2,28,-6.23,-9.81,-1.05,-20,33.2,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2002,12,31,-8.79,-11.83,-5.01,-19.2,0.9,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2003,1,31,-5.5,-8.42,-1.66,-14.6,69.3,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2003,2,28,-5.3,-8.77,-0.17,-19.2,30.5,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2003,12,31,-5.85,-7.91,-3.28,-13.8,14.8,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2004,2,22,-3.6,-7.34,1.89,-12.3,34.5,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2005,1,31,-6.99,-9.86,-2.87,-20,94.2,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2005,2,28,-3.92,-7.8,2.2,-14.4,26.4,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2005,12,19,-3.41,-5.92,-0.72,-12,58.4,FALSE,TRUE,"DEWAR CREEK",1608
"BCWS","421",2007,12,2,-10.3,-13.7,-4.5,-15.2,0,FALSE,TRUE,"DEWAR CREEK",1608
"BCWS","421",2008,1,18,-6.96,-9.73,-3.03,-17.6,0,FALSE,TRUE,"DEWAR CREEK",1608
"BCWS","421",2008,2,21,-4.98,-8.57,0.77,-14.7,0,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2008,12,22,-7.97,-10.35,-4.15,-14.9,4,FALSE,FALSE,"DEWAR CREEK",1608
