"network","station_id","station_name","latitude","longitude","elevation_m","dist_km_centroid","install_date","winter_year","winter_period","n_obs","obs_interval","min_temp_c","n_spike_rejected","n_at_minus20","n_just_below_minus20","n_below_minus20","censored_flag","suspect_flag","min_temp_c_usable"
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",1999,"1998-12-01 to 1999-01-02",769,"hourly",-20,0,103,0,0,TRUE,FALSE,
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2000,"1999-12-01 to 2000-02-28",1701,"hourly",-16.5,0,0,0,0,FALSE,FALSE,-16.5
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2001,"2000-12-01 to 2000-12-12",277,"hourly",-19,0,0,0,0,FALSE,FALSE,-19
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2003,"2002-12-01 to 2002-12-12",272,"hourly",-10.2,0,0,0,0,FALSE,FALSE,-10.2
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2004,"2003-12-01 to 2003-12-15",349,"hourly",-15.9,0,0,0,0,FALSE,FALSE,-15.9
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2005,"2004-12-01 to 2005-02-28",1809,"hourly",-20,0,822,0,0,TRUE,FALSE,
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2007,"2006-12-01 to 2007-02-28",2160,"hourly",-22,0,2,11,15,FALSE,FALSE,-22
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2008,"2007-12-01 to 2008-02-29",2184,"hourly",-20.7,0,0,5,5,FALSE,FALSE,-20.7
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2009,"2008-12-01 to 2009-02-28",2160,"hourly",-27.7,0,5,46,168,FALSE,FALSE,-27.7
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2010,"2009-12-01 to 2010-02-28",2160,"hourly",-24.7,0,0,9,67,FALSE,FALSE,-24.7
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2011,"2010-12-01 to 2011-02-28",2159,"hourly",-19.2,0,0,0,0,FALSE,FALSE,-19.2
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2012,"2011-12-01 to 2012-02-29",2184,"hourly",-22.8,0,2,9,27,FALSE,FALSE,-22.8
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2013,"2012-12-01 to 2013-02-28",2160,"hourly",-12.9,0,0,0,0,FALSE,FALSE,-12.9
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2014,"2013-12-01 to 2014-02-28",2160,"hourly",-28.7,0,3,28,165,FALSE,FALSE,-28.7
"BCWS","408","NORNS",49.5025,-117.787,2423,49.2,"1992-08-26Z",2015,"2014-12-01 to 2015-02-28",2160,"hourly",4.6,0,0,0,0,FALSE,FALSE,4.6
"BCWS","1203","DARKWOODS",49.357611,-116.95025,1657,14.5,"2014-10-14Z",2015,"2014-12-01 to 2015-02-28",2159,"hourly",-20.9,0,0,7,7,FALSE,FALSE,-20.9
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",1999,"1998-12-01 to 1998-12-18",421,"hourly",-14.6,0,0,0,0,FALSE,FALSE,-14.6
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2001,"2000-12-01 to 2001-02-28",2136,"hourly",-19.9,0,0,0,0,FALSE,FALSE,-19.9
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2002,"2001-12-01 to 2002-02-28",2159,"hourly",-20,0,1,0,0,TRUE,FALSE,
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2003,"2002-12-01 to 2003-02-28",2159,"hourly",-19.2,0,0,0,0,FALSE,FALSE,-19.2
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2004,"2004-02-07 to 2004-02-28",512,"hourly",-12.3,0,0,0,0,FALSE,FALSE,-12.3
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2005,"2004-12-01 to 2005-02-28",1853,"hourly",-20,0,10,0,0,TRUE,FALSE,
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2007,"2006-12-01 to 2006-12-02",39,"hourly",-15.2,0,0,0,0,FALSE,FALSE,-15.2
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2008,"2007-12-10 to 2008-02-21",1386,"hourly",-17.6,0,0,0,0,FALSE,FALSE,-17.6
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2009,"2008-12-01 to 2009-02-28",2154,"hourly",-27.9,0,3,27,139,FALSE,FALSE,-27.9
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2010,"2009-12-01 to 2010-02-28",2157,"hourly",-24.5,0,1,17,55,FALSE,FALSE,-24.5
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2011,"2010-12-01 to 2011-02-28",1881,"hourly",-28,0,2,33,95,FALSE,FALSE,-28
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2012,"2011-12-01 to 2012-02-29",2183,"hourly",-20,0,1,0,0,TRUE,FALSE,
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2013,"2012-12-01 to 2013-02-28",2159,"hourly",-18.8,0,0,0,0,FALSE,FALSE,-18.8
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2014,"2013-12-01 to 2014-02-28",2159,"hourly",-28,0,2,19,160,FALSE,FALSE,-28
"BCWS","421","DEWAR CREEK",49.7845,-116.383,1608,73.7,"1993-05-07Z",2015,"2014-12-01 to 2015-02-02",1529,"hourly",-22.4,0,2,13,25,FALSE,FALSE,-22.4
"BCWS","396","OCTOPUS CREEK",49.699,-118.081,1432,77.9,"2000-09-08Z",2001,"2000-12-01 to 2001-01-17",1069,"hourly",-19.8,1,0,0,0,FALSE,FALSE,-19.8
"BCWS","396","OCTOPUS CREEK",49.699,-118.081,1432,77.9,"2000-09-08Z",2002,"2001-12-17 to 2002-01-19",793,"hourly",-15.1,0,0,0,0,FALSE,FALSE,-15.1
