"station_id","station_name","winter_year","min_temp_c","min_date","min_month"
"838","AKOKLI CREEK",2003,-5.7,2003-01-01,1
"838","AKOKLI CREEK",2004,-19.4,2004-01-06,1
"838","AKOKLI CREEK",2005,-16.9,2005-01-14,1
"838","AKOKLI CREEK",2006,-16.7,2006-02-17,2
"838","AKOKLI CREEK",2007,-13.3,2007-01-13,1
"838","AKOKLI CREEK",2008,-9.2,2008-01-16,1
"838","AKOKLI CREEK",2009,-17.1,2008-12-20,12
"838","AKOKLI CREEK",2010,-14.2,2009-12-08,12
"838","AKOKLI CREEK",2011,-17.5,2011-02-25,2
"838","AKOKLI CREEK",2012,-10.1,2012-01-18,1
"838","AKOKLI CREEK",2013,-9.7,2013-01-13,1
"838","AKOKLI CREEK",2014,-17.6,2014-02-05,2
"838","AKOKLI CREEK",2015,-12.5,2014-12-30,12
"1203","DARKWOODS",2015,-20.9,2014-12-30,12
"1203","DARKWOODS",2016,-17.6,2015-12-31,12
"421","DEWAR CREEK",1998,-20,1998-01-10,1
"421","DEWAR CREEK",1999,-14.6,1998-12-04,12
"421","DEWAR CREEK",2001,-19.9,2000-12-14,12
"421","DEWAR CREEK",2002,-20,2002-02-25,2
"421","DEWAR CREEK",2003,-19.2,2003-02-24,2
"421","DEWAR CREEK",2004,-12.3,2004-02-13,2
"421","DEWAR CREEK",2005,-20,2005-01-14,1
"421","DEWAR CREEK",2007,-15.2,2006-12-02,12
"421","DEWAR CREEK",2008,-17.6,2008-01-16,1
"421","DEWAR CREEK",2009,-27.9,2008-12-20,12
"421","DEWAR CREEK",2010,-24.5,2009-12-08,12
"421","DEWAR CREEK",2011,-28,2011-02-25,2
"421","DEWAR CREEK",2012,-20,2012-01-19,1
"421","DEWAR CREEK",2013,-18.8,2013-01-13,1
"421","DEWAR CREEK",2014,-28,2013-12-07,12
"421","DEWAR CREEK",2015,-22.4,2014-12-30,12
"421","DEWAR CREEK",2016,-16.3,2015-12-01,12
"401","GOATFELL",1998,-8.4,1998-02-28,2
"401","GOATFELL",1999,-20,1998-12-19,12
"401","GOATFELL",2000,-13,2000-01-19,1
"401","GOATFELL",2001,-18.4,2000-12-12,12
"401","GOATFELL",2002,-17.8,2002-02-25,2
"401","GOATFELL",2003,-13,2003-01-10,1
"401","GOATFELL",2004,-20,2004-01-04,1
"401","GOATFELL",2005,-17.4,2005-01-05,1
"401","GOATFELL",2006,-18.3,2005-12-19,12
"401","GOATFELL",2007,-20.8,2007-01-12,1
"401","GOATFELL",2008,-19.3,2008-01-21,1
"401","GOATFELL",2009,-25.6,2008-12-20,12
"401","GOATFELL",2010,-23,2009-12-08,12
"401","GOATFELL",2011,-26.9,2011-02-25,2
"401","GOATFELL",2012,-17,2012-01-19,1
"401","GOATFELL",2013,-15.4,2013-01-13,1
"401","GOATFELL",2014,-25.3,2013-12-07,12
"401","GOATFELL",2015,-21.7,2014-12-30,12
"401","GOATFELL",2016,-14.3,2015-12-31,12
"392","GRAND FORKS",1998,-20,1998-01-11,1
"392","GRAND FORKS",1999,-17.6,1998-12-20,12
"392","GRAND FORKS",2000,-14.5,2000-01-19,1
"392","GRAND FORKS",2001,-19.9,2000-12-12,12
"392","GRAND FORKS",2002,-14.6,2002-01-29,1
"392","GRAND FORKS",2003,-12.7,2003-02-24,2
"392","GRAND FORKS",2004,-28.2,2004-01-06,1
"392","GRAND FORKS",2005,-25.8,2005-01-15,1
"392","GRAND FORKS",2006,-19.4,2005-12-07,12
"392","GRAND FORKS",2007,-21.5,2007-01-14,1
"392","GRAND FORKS",2008,-19.4,2008-01-24,1
"392","GRAND FORKS",2009,-24.9,2008-12-20,12
"392","GRAND FORKS",2010,-19.9,2009-12-08,12
"392","GRAND FORKS",2011,-19.7,2011-02-25,2
"392","GRAND FORKS",2012,-16.9,2012-01-16,1
"392","GRAND FORKS",2013,-16.4,2013-01-12,1
"392","GRAND FORKS",2014,-23.2,2014-02-06,2
"392","GRAND FORKS",2015,-16.5,2014-12-01,12
"392","GRAND FORKS",2016,-13.4,2015-12-31,12
"407","NANCY GREENE",1999,-20,1998-12-19,12
"407","NANCY GREENE",2001,-19.7,2000-12-16,12
"407","NANCY GREENE",2002,-15.8,2001-12-27,12
"407","NANCY GREENE",2003,-12.9,2003-01-18,1
"407","NANCY GREENE",2004,-13.5,2003-12-11,12
"407","NANCY GREENE",2005,-20,2005-01-13,1
"407","NANCY GREENE",2006,-22,2006-02-17,2
"407","NANCY GREENE",2007,-21.5,2007-01-13,1
"407","NANCY GREENE",2008,-17.1,2008-01-21,1
"407","NANCY GREENE",2009,-25.8,2008-12-20,12
"407","NANCY GREENE",2010,-21.7,2009-12-08,12
"407","NANCY GREENE",2011,-22.7,2011-02-24,2
"407","NANCY GREENE",2012,-18.5,2012-01-19,1
"407","NANCY GREENE",2013,-16.8,2013-01-12,1
"407","NANCY GREENE",2014,-23.6,2013-12-07,12
"407","NANCY GREENE",2015,-19.4,2014-12-30,12
"407","NANCY GREENE",2016,-16.7,2015-12-26,12
"393","NICOLL",1999,-20,1998-12-20,12
"393","NICOLL",2001,-19.5,2000-12-12,12
"393","NICOLL",2003,-12.6,2003-01-10,1
"393","NICOLL",2004,-13.8,2003-12-04,12
"393","NICOLL",2005,-20,2005-01-14,1
"393","NICOLL",2006,-20.7,2006-02-17,2
"393","NICOLL",2007,-23.4,2007-01-12,1
"393","NICOLL",2010,-15.1,2009-12-03,12
"393","NICOLL",2011,-23.6,2011-02-25,2
"393","NICOLL",2012,-19.9,2012-02-27,2
"393","NICOLL",2013,-17.9,2013-01-12,1
"393","NICOLL",2014,-24,2014-02-06,2
"393","NICOLL",2015,-19,2014-12-30,12
"393","NICOLL",2016,-16.9,2015-12-31,12
"408","NORNS",1999,-20,1998-12-18,12
"408","NORNS",2000,-16.5,2000-01-19,1
"408","NORNS",2001,-19,2000-12-11,12
"408","NORNS",2003,-10.2,2002-12-11,12
"408","NORNS",2004,-15.9,2003-12-09,12
"408","NORNS",2005,-20,2004-12-01,12
"408","NORNS",2007,-22,2007-01-11,1
"408","NORNS",2008,-20.7,2007-12-01,12
"408","NORNS",2009,-27.7,2008-12-20,12
"408","NORNS",2010,-24.7,2009-12-07,12
"408","NORNS",2011,-19.2,2011-01-11,1
"408","NORNS",2012,-22.8,2012-01-18,1
"408","NORNS",2013,-12.9,2013-01-04,1
"408","NORNS",2014,-28.7,2014-02-05,2
"408","NORNS",2015,4.6,2014-12-01,12
"408","NORNS",2016,-9.7,2015-12-05,12
"396","OCTOPUS CREEK",2001,-19.8,2000-12-16,12
"396","OCTOPUS CREEK",2002,-15.1,2001-12-26,12
"396","OCTOPUS CREEK",2003,-12.6,2003-01-10,1
"396","OCTOPUS CREEK",2004,-15.3,2003-12-11,12
"396","OCTOPUS CREEK",2007,-21.1,2007-01-12,1
"396","OCTOPUS CREEK",2008,-13.5,2008-01-01,1
"396","OCTOPUS CREEK",2009,-25.7,2008-12-20,12
"396","OCTOPUS CREEK",2010,-13,2009-12-03,12
"396","OCTOPUS CREEK",2011,-22.2,2011-02-25,2
"396","OCTOPUS CREEK",2012,-19,2012-01-18,1
"396","OCTOPUS CREEK",2013,-17,2013-01-13,1
"396","OCTOPUS CREEK",2014,-25.4,2014-02-05,2
"396","OCTOPUS CREEK",2015,-21,2014-12-30,12
"396","OCTOPUS CREEK",2016,-17.6,2015-12-31,12
"402","PENDOREILLE",1999,-20,1998-12-20,12
"402","PENDOREILLE",2000,-12.7,2000-01-19,1
"402","PENDOREILLE",2001,-16.5,2000-12-12,12
"402","PENDOREILLE",2002,-12.3,2002-01-18,1
"402","PENDOREILLE",2003,-10.7,2003-01-10,1
"402","PENDOREILLE",2004,-11,2003-12-11,12
"402","PENDOREILLE",2005,-20,2005-01-15,1
"402","PENDOREILLE",2006,-17.9,2006-02-17,2
"402","PENDOREILLE",2007,-19,2007-01-14,1
"402","PENDOREILLE",2008,-16.9,2008-01-23,1
"402","PENDOREILLE",2009,-21,2008-12-20,12
"402","PENDOREILLE",2010,-19,2009-12-08,12
"402","PENDOREILLE",2011,-21.7,2011-02-25,2
"402","PENDOREILLE",2012,-13.3,2012-01-12,1
"402","PENDOREILLE",2013,-14.3,2013-01-13,1
"402","PENDOREILLE",2014,-22,2014-02-06,2
"402","PENDOREILLE",2015,-17,2014-12-30,12
"402","PENDOREILLE",2016,-12.7,2015-12-31,12
"380","POWDER CREEK",2002,-12.7,2002-02-25,2
"380","POWDER CREEK",2003,-12.8,2003-02-24,2
"380","POWDER CREEK",2004,-20,2004-01-06,1
"380","POWDER CREEK",2005,-12.7,2005-01-05,1
"380","POWDER CREEK",2007,-15.9,2007-01-12,1
"380","POWDER CREEK",2008,-14.5,2008-01-21,1
