source,file,tags,n_tags,sentence
Krawchuk 2020,Krawchuk 2020 Disturbance refugia within mosaics of forest fire  drought  and insect.pdf,terrain,1,"Soil moisture losses from evapotranspiration may be lower in areas of topographic shading and wind sheltering, and soil water- holding capacity based on soil particle size, organic matter, and bulk density may also help maintain hydrologic refugia (Cartwright 2018)."
Krawchuk 2020,Krawchuk 2020 Disturbance refugia within mosaics of forest fire  drought  and insect.pdf,density|diameter|pheromone|terrain,4,"For example, we might hypothesize that refugia from mountain pine beetle could occur in areas with cooler temperatures (eg from topographic shading) that protect trees from water stress; in areas with lower host density, allowing for greater wind disruption of beetle pheromone communication and more vigorous tree growth and chemical defenses; and in areas with fewer large- diameter host trees or among trees with greater investment in insect- resistance strategies, such as resin ducts."
Cartright 2018,Cartright 2018 Landscape Topoedaphic Features Create Refugia from Drought and Insect Disturbance in a Lodgepole and Whitebark Pine Forest.pdf,terrain,1,"In addition, wind can redistribute precipitation in rugged terrain preferentially to valleys [84,85]."
Cartright 2018,Cartright 2018 Landscape Topoedaphic Features Create Refugia from Drought and Insect Disturbance in a Lodgepole and Whitebark Pine Forest.pdf,density|flight|pheromone,3,"Thinner stands also increase wind penetration, helping to disperse beetle pheromones and disrupt chemical communications needed to coordinate attacks [33]."
Cartright 2018,Cartright 2018 Landscape Topoedaphic Features Create Refugia from Drought and Insect Disturbance in a Lodgepole and Whitebark Pine Forest.pdf,terrain,1,"Chapter 5: Effects of wind, terrain, and vegetation on snow pack."
powell & bentz2014,powell & bentz2014 Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact .pdf,flight|pheromone,2,"(1989) developed an empirical approach to predict the directional distribution of MPB responding to semiochemicals given wind direction, speed and temperature as it inﬂuences MPB emergence."
powell & bentz2014,powell & bentz2014 Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact .pdf,density|flight|pheromone,3,"These modeling exercises support the notion that higher local host density, which minimizes pheromone plume dispersion, reduces wind, and promotes successful switching to nearby hosts, positively inﬂuences outbreak propensity."
powell & bentz2014,powell & bentz2014 Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact .pdf,flight,1,"An empirical approach to modeling local dispersal of the mountain pine beetle (Dendroctonus ponderosae) in relation to sources of attraction, wind direction, and speed."
Carroll & Safranyik 2003,Carroll & Safranyik 2003 The bionomics of the mountain pine beetle in lodgepole pine forests.pdf,flight,1,A mathematical relation to describe the inﬂuence of wind on the initial ﬂight dispersal of Scolytus multistriatus (Coleoptera: Scolytidae).
Carroll & Safranyik 2003,Carroll & Safranyik 2003 The bionomics of the mountain pine beetle in lodgepole pine forests.pdf,flight,1,"An empirical approach to modeling the dispersal of the mountain pine beetle (Dendroctonus ponderosae Hopk.) (Col., Scolytidae) in relation to sources of attraction, wind direction and speed."
Safranyik & Wilson 2006,Safranyik & Wilson 2006 Biology of MPB in BC Synthesis and Review.pdf,flight,1,"For large-bodied bark beetles like the mountain pine beetle, the maximum wind speed for flight, and therefore the probable maximum flight speed, is approximately 2 ms-1 (Rudinsky 1963)."
Safranyik & Wilson 2006,Safranyik & Wilson 2006 Biology of MPB in BC Synthesis and Review.pdf,flight,1,A mathematical relation to describe the influence of wind on the initial flight dispersal of Scolytus multistriatus (Coleoptera: Scolytidae).
Safranyik & Wilson 2006,Safranyik & Wilson 2006 Biology of MPB in BC Synthesis and Review.pdf,flight,1,"An empirical approach to modelling the dispersal of the mountain pine beetle (Dendroctonus ponderosae Hopk.) (Col., Scolytidae) in relation to sources of attraction, wind direction and speed."
Safranyik & Wilson 2006,Safranyik & Wilson 2006 Biology of MPB in BC Synthesis and Review.pdf,diameter,1,"Removal of larger-diameter trees infested with dwarf mistletoe, or damaged during stand tending, or weakened by wind or snow damage is especially important."
Safranyik & Wilson 2006,Safranyik & Wilson 2006 Biology of MPB in BC Synthesis and Review.pdf,diameter,1,"The residual, smaller diameter pine may be susceptible to wind and snow breakage."
Safranyik & Wilson 2006,Safranyik & Wilson 2006 Biology of MPB in BC Synthesis and Review.pdf,flight,1,"An empirical approach to modelling the local dispersal of the mountain pine beetle (Dendroctonus ponderosae Hopk.)(Col., Scolytidae) in relation to sources of attraction, wind direction and speed."
Jones et al 2019,Jones et al 2019 Factors-influencing-dispersal-by-flight-in-bark-beetles-(coleoptera-curculionidae-scolytinae).pdf,flight,1,"Bark beetle dispersal can occur over short distances within a stand or over long distances above the forest canopy, where wind aids dispersal."
Jones et al 2019,Jones et al 2019 Factors-influencing-dispersal-by-flight-in-bark-beetles-(coleoptera-curculionidae-scolytinae).pdf,flight,1,Long-distance dispersal is characterized by above-canopy ﬂight in which beetles do not actively ﬂy but are carried by the wind.
Jones et al 2019,Jones et al 2019 Factors-influencing-dispersal-by-flight-in-bark-beetles-(coleoptera-curculionidae-scolytinae).pdf,flight,1,"Beetles also display a variety of gliding behaviours, including planing, ﬂexing, and vibrating outstretchedwings( BennettandBorden1971 ).Theseﬂightbehaviours may increase the potential for wind-assisted long-distance dispersal; wing size, shape, and position are important for the dispersalofwingedseedsinplants( Augspurger1986),butthishas yet to be investigated in passive dispersal of bark beetles."
Jones et al 2019,Jones et al 2019 Factors-influencing-dispersal-by-flight-in-bark-beetles-(coleoptera-curculionidae-scolytinae).pdf,flight,1,Effect of wind on short-distance dispersal Wind speed and direction can have a large impact on the ﬂight of small insects such as bark beetles.
Jones et al 2019,Jones et al 2019 Factors-influencing-dispersal-by-flight-in-bark-beetles-(coleoptera-curculionidae-scolytinae).pdf,flight,1,"2014), and wind direction and speed can impact beetle ﬂight capacity and dispersal within the tree canopy.Ips sexdentatus dispersal is greater in the downwind direction at wind speeds that exceed 3 m·s –1 (Jactel 1991)."
Jones et al 2019,Jones et al 2019 Factors-influencing-dispersal-by-flight-in-bark-beetles-(coleoptera-curculionidae-scolytinae).pdf,flight,1,"At low wind speeds, dispersal direction ofD."
Jones et al 2019,Jones et al 2019 Factors-influencing-dispersal-by-flight-in-bark-beetles-(coleoptera-curculionidae-scolytinae).pdf,flight,1,Wind speed can inﬂuence energy utilization by bark beetles during dispersal.
Jones et al 2019,Jones et al 2019 Factors-influencing-dispersal-by-flight-in-bark-beetles-(coleoptera-curculionidae-scolytinae).pdf,flight,1,"Flight-naïve beetles ﬂy with the wind and are caught in downwind-positioned traps, whereas the direction of dispersal is not inﬂuenced by wind in ﬂight-experienced individuals (Meurisse and Pawson 2017)."
