source,wind_sentences,pheromone,density,flight,terrain,diameter,temporal
Aukema 2006,2,0,0,2,0,0,1
Aukema 2007,0,0,0,0,0,0,0
Bright et al 2020,0,0,0,0,0,0,0
Carroll & Safranyik 2003,2,0,0,2,0,0,0
Cartright 2018,3,1,1,1,2,0,0
Chen & Walton 2011,2,0,0,2,0,0,0
Chen 2014,0,0,0,0,0,0,0
Cooke et al 2024,0,0,0,0,0,0,0
Fauria & Johson 2009,0,0,0,0,0,0,0
Howe et al 2022,0,0,0,0,0,0,0
Janes et al 2014,1,0,0,1,0,0,0
Jones et al 2019,20,2,1,18,1,0,0
Krawchuk 2020,2,1,1,0,2,1,0
Larson et al 2005,0,0,0,0,0,0,0
Lerch et al 2016,0,0,0,0,0,0,0
Murphy et al 2026,20,0,0,7,15,0,2
Safranyik & Wilson 2006,6,0,0,4,0,2,0
Sambaraju et al 2021,1,0,0,1,0,0,0
Shore 2006,0,0,0,0,0,0,0
Smith-McKenna,11,0,0,3,10,0,0
Taylor & Carrol 2003,0,0,0,0,0,0,0
Work et al 2011,0,0,0,0,0,0,0
Wulder et al 2006,0,0,0,0,0,0,0
Zabihi 2021,0,0,0,0,0,0,0
gray2009,23,8,0,23,0,0,3
mccambridge1971,0,0,0,0,0,0,0
powell & bentz2014,3,2,1,3,0,0,0
