key,year,status,title,stage2_include,exclude_reason,wind_predictor,wind_mentions,host_terms_present,terrain_terms,n_pages,grain_m,extent,full_text_checked,original_filename
,,unverified,Aukema 2006 Landscape level analysis of mountain pine beetle in British Columbia Canada,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Aukema 2006 Landscape level analysis of mountain pine beetle in British Columbia Canada.pdf
,,unverified,https:/publications.gc.ca/collections/collection_2025/rncan-nrcan/Fo123-2-39-2025-eng,no,"review, report or management document",,,,,,not extracted,not extracted,no,"Brett et al 2025 A history of mountain pine beetle outbreaks in Alberta and Saskatchewan, 1940–2007 (Information Report GLC-X-38). Natural Resources Canada, Canadian Forest Service, Great Lakes Forestry Centre.pdf"
,,unverified,https:/www.researchgate.net/profile/Allan-Carroll-2/publication/254868994_The_bionomics_of_the_mountain_pine_beetle_in_lodgepole_pine_forests_Establishing_a_context/links/625892631c096a380d047247/The-bionomics-of-the-mountain-pine-beetle-in-lodgepole-pine-forests-Establishing-a-context,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Carroll & Safranyik 2003 The bionomics of the mountain pine beetle in lodgepole pine forests.pdf
,,unverified,unnamed document,no,"review, report or management document",,,,,,not extracted,not extracted,no,"Carroll et al 2006 Direct control- Theory and practice. In L. Safranyik & B. Wilson (Eds.), The mountain pine beetle- A synthesis of its biology, management and impacts on lodgepole pine.pdf"
,,unverified,MPBEP_2017_07_ Control Efficacy report_0,no,"review, report or management document",,,,,,not extracted,not extracted,no,Carroll et al 2017 Assessing the effectiveness of Alberta MPB management plan.pdf
,,unverified,Safranyik & Wilson 2006 Biology of MPB in BC Synthesis and Review,no,"review, report or management document",,,,,,not extracted,not extracted,no,Safranyik & Wilson 2006 Biology of MPB in BC Synthesis and Review.pdf
,,unverified,Shore 2006 Effects of the Mountain Pine Beetle on,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Shore 2006 Effects of the Mountain Pine Beetle on.pdf
,,unverified,mccambridge1971 Temperature Limits of Flight of the the mountain pine beetle,no,"mechanism or physiology, not a spatial model of attack",,,,,,not extracted,not extracted,no,mccambridge1971 Temperature Limits of Flight of the the mountain pine beetle.pdf
,,unverified,Talucci 2019 Beetle Outbreaks and Wildfires - Drivers of Fire Severity Recruitment and Structural Legacies for Sub-boreal Forests in British Columbia,no,"post-disturbance response, attack not the response variable",,,,,,not extracted,not extracted,no,Talucci 2019 Beetle Outbreaks and Wildfires - Drivers of Fire Severity Recruitment and Structural Legacies for Sub-boreal Forests in British Columbia.pdf
,,unverified,Talucci 2019 Thesis Beetle Fire and  lodgepole pine patterns1),no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Talucci 2019 Thesis Beetle Fire and  lodgepole pine patterns1).pdf
,,unverified,Zabihi 2021 Predicting multi-species bark beetle Coleoptera Curculionidae Scolytinae occurrence in Alaska,yes,,no,1,yes,yes,19,not extracted,not extracted,yes,Zabihi 2021 Predicting multi-species bark beetle Coleoptera Curculionidae Scolytinae occurrence in Alaska.pdf
,,unverified,MPB-proceedings-Book.indb,no,"review, report or management document",,,,,,not extracted,not extracted,no,Taylor & Carrol 2003 Disturbance_Forest_Age_and_Mountain_Pine_Beetle_Ou - History of BC.pdf
,,unverified,ecap-22-06-20 1876..1891,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Meddens et al 2012 Spatiotemporal patterns of observed bark beetle-caused tree in BC and NW America.pdf
,,unverified,https://ostr-backend-prod.azure.cloud.nrcan-rncan.gc.ca/server/api/core/bitstreams/22d66fa1-f2e7-49cd-a848-3eeac0a5b1d4/content,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Carroll 2009 Forecasting mountain pine beetle-overwintering mortality in a variable environment.pdf
,,unverified,https://pubs.cif-ifc.org/doi/pdf/10.5558/tfc85032-1,no,"detection method, terrain not a predictor",,,,,,not extracted,not extracted,no,Wulder et al 2009 Challenges for the operational detection of mountain pine beetle green attack with remote sensing.pdf
gray1972emergence,1972,verified,"On the Emergence and Initial Flight Behaviour of the Mountain Pine Beetle, <i>Dendroctonus ponderosae</i>, in Eastern Washington<sup>1</sup>",no,"mechanism or physiology, not a spatial model of attack",,,,,,not extracted,not extracted,no,gray2009 On the Emergence and Initial Flight Behaviour of the Mountain pine beetle.pdf
mchugh2003bark,2003,verified,Bark Beetle Attacks on Ponderosa Pine Following Fire in Northern Arizona,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Hugh et al 2003 Bark Beetle Attacks on Ponderosa Pine Following Fire in Northern Arizona.pdf
white2005detection,2005,verified,Detection of red attack stage mountain pine beetle infestation with high spatial resolution satellite imagery,no,"detection method, terrain not a predictor",,,,,,not extracted,not extracted,no,White et al Detection of red attack stage mountain pine beetle.pdf
jbmcintire2006structure,2006,verified,Structure and function of wildfire and mountain pine beetle forest boundaries,no,"post-disturbance response, attack not the response variable",,,,,,not extracted,not extracted,no,McIntire & Fortin 2006 Structure and function of wildfire and mountain pine beetle forest boundaries - transect sampling.pdf
wulder2006estimating,2006,verified,Estimating the probability of mountain pine beetle red-attack damage,yes,,no,0,yes,yes,17,not extracted,not extracted,yes,Wulder et al 2006 Estimating the probability of mountain pine beetle red-attack damage.pdf
haukema2008movement,2008,verified,Movement of outbreak populations of mountain pine beetle: influences of spatiotemporal patterns and climate,yes,,no,1,yes,yes,11,not extracted,not extracted,yes,Aukema 2007 Movement of outbreak populations of mountain pine beetle.pdf
maciasfauria2009large,2009,verified,"Large‐scale climatic patterns and area affected by mountain pine beetle in British Columbia, Canada",yes,,no,0,yes,yes,19,not extracted,not extracted,yes,Fauria & Johson 2009 Large-scale climatic patterns and area affected by mountain pine beetle in British Columbia.pdf
clark2010differences,2010,verified,"Differences in the constitutive terpene profile of lodgepole pine across a geographical range in British Columbia, and correlation with historical attack by mountain pine beetle",no,"mechanism or physiology, not a spatial model of attack",,,,,,not extracted,not extracted,no,Clark rt al 2010 Differences in the constitutive terpene profile of lodgepole pine across a geographical range in British Columbia and correlation with historical attack by MPB.pdf
larson2010patterns,2010,verified,"Patterns in whitebark pine regeneration and their relationships to biophysical site characteristics in southwest Montana, central Idaho, and Oregon, USA",no,"post-disturbance response, attack not the response variable",,,,,,not extracted,not extracted,no,Larson et al 2005 Whitebark pine and MPB.pdf
safranyik2010potential,2010,verified,Potential for range expansion of mountain pine beetle into the boreal forest of North America,no,"range or spread projection, not within-landscape attack",,,,,,not extracted,not extracted,no,Safranyik et 2012 Potential for Range Expansion of Mountain Pine Beetle into the Boreal Forest of North America.pdf
chen2011mountain,2011,verified,Mountain pine beetle dispersal: spatiotemporal patterns and role in the spread and expansion of the present outbreak,yes,,no,2,yes,yes,17,not extracted,not extracted,yes,Chen & Walton 2011 Mountain pine beetle dispersal.pdf
cullingham2011mountain,2011,verified,Mountain pine beetle host-range expansion threatens the boreal forest,no,"range or spread projection, not within-landscape attack",,,,,,not extracted,not extracted,no,Cullingham et al 2011 Mountain pine beetle host-range expansion threatens the boreal forest .pdf
meigs2011landsat,2011,verified,A Landsat time series approach to characterize bark beetle and defoliator impacts on tree mortality and surface fuels in conifer forests,no,"detection method, terrain not a predictor",,,,,,not extracted,not extracted,no,"Meigs et al 2011 A Landsat time series approach to characterize bark beetle and defoliator impacts on tree mortality and surface fuels in conifer forests : Remote Sensing of Environment, 2011.pdf"
work2011response,2011,verified,"Response of female beetles to LIDAR derived topographic variables in Eastern boreal mixedwood forests (Coleoptera, Carabidae)",no,not a bark beetle of conifer boles,,,,,,not extracted,not extracted,no,"Work et al 2011 Response of female beetles to LIDAR derived topographic variables in Eastern boreal mixedwood forests (Coleoptera, Carabidae).pdf"
chen2013spatiotempor,2013,verified,"A spatiotemporal pattern analysis of historical mountain pine beetle outbreaks in British Columbia, Canada",yes,,no,0,yes,yes,13,not extracted,not extracted,yes,Chen 2014 A spatiotemporal pattern analysis of historical mountain pine beetle outbreaks in British Columbia.pdf
lausch2013forecasting,2013,verified,Forecasting potential bark beetle outbreaks based on spruce forest vitality using hyperspectral remote-sensing techniques at different scales,no,"detection method, terrain not a predictor",,,,,,not extracted,not extracted,no,Lausch et al 2013 Forecasting potential bark beetle outbreaks based on spruce forest.pdf
meddens2013evaluating,2013,verified,Evaluating methods to detect bark beetle-caused tree mortality using single-date and multi-date Landsat imagery,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Meddens et al 2012 Evaluating methods to detect bark beetle-caused tree mortality using single-date and multi-date Landsat imagery.pdf
walter2013multi,2013,verified,Multi-temporal analysis reveals that predictors of mountain pine beetle infestation change during outbreak cycles,yes,,no,0,yes,yes,11,not extracted,not extracted,yes,Walter J A & Platt R V 2013 Multi-temporal analysis of mountain pine beetle infestation change during outbreak cycles.pdf
janes2014mountain,2014,verified,How the Mountain Pine Beetle (Dendroctonus ponderosae) Breached the Canadian Rocky Mountains,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Janes et al 2014 How the Mountain Pine Beetle (Dendroctonus ponderosae).pdf
meddens2014spatial,2014,verified,"Spatial and temporal patterns of Landsat-based detection of tree mortality caused by a mountain pine beetle outbreak in Colorado, USA",yes,,no,0,yes,yes,11,not extracted,not extracted,yes,Meddens & Hicke 2014 Spatial and temporal patterns of Landsat.pdf
powell2014phenology,2014,verified,Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,powell & bentz2014 Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact .pdf
jarvis2015long,2015,verified,Long‐term history and synchrony of mountain pine beetle outbreaks in lodgepole pine forests,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,"Jarvis, D. S., & Kulakowski, D. (2015). Long-term history and synchrony of mountain pine beetle outbreaks in lodgepole pine forests.pdf"
