study,year,term,scales,context
Zabihi 2021 Predicting multi-species bar,,Wind,,":199-215. Brinkman, T. J., F. S. III. Chapin, G. P. Kofinas, and D. K. Person. 2009. Linking hunter knowledge with forest change to understand changing deer harvest opportu - nities in intensively logged landscapes. Ecol. and Soc. 14:36. Chandler, T. J. 1960. Wind as a factor of urban tem - peratures: A survey in north-east London, Weather, 15:204-213. Chapman, D. S. and B. V . Purse. 2011. Community ver- sus single‐species distribution models for British plants. J. Biogeogr. 38:1524-1535. Christiansen, E., and A. Bakk"
haukema2008movement,2008,wind,,"a, I. and Gentleman, R. 1996. R: a language for data analysis and graphics./C1J. Comput. Graph. Stat. 5: 299/C1314. Isaaks, E. H. and Srivastava, R. M. 1989. Applied geostatistics. /C1Oxford Univ. Press. Jackson, P. L. et al. 2005. Modeling beetle movement by wind. /C1Bull. Am. Meteor. Soc. 86: 28/C129. Knapp, R. A. et al. 2003. Developing probabilistic models to predict amphibian site occupancy in a patchy landscape. /C1Ecol. Appl. 13: 1069/C11082. Legendre, P. 1993. Spatial autocorrelation: trouble or new paradigm?/C"
maciasfauria2009large,2009,winds,,"re able to cross the mountains and produce cold mortality events in BC. Tem- perature data suggest that the actual barrier (an air mass barrier) might be located east of the Rocky Mountains past the areas in the eastern slopes of the range affected by Chinook winds which have in the past already been colo- nized by MPB [Carroll et al.,2 0 0 4 ;Moore et al.,2 0 0 5 ] . [49]M o r e o v e r , a r e a b u r n t b y w i l d f i r e , w h i c h c o n t r o l s t h e stand age distribution in the boreal forest [Johnson,1 9 9 2"
chen2011mountain,2011,wind,,"s at new locations within a stand (spot proliferation) (Safranyik et al. 1992, Robertson et al. 2007, 2009). Long-distance dispersal (LDD) occurs when beetles get caught in convective upward drafts and are transported long distances above the forest canopy by wind (Safranyik and Carroll 2006, Robertson et al. 2007, 2009). The spread of the mountain pine beetle outbreaks and the expansion of outbreaks into regions they have never occurred before, are inherently dependent upon dispersal behavior as well as local populati"
chen2011mountain,2011,wind,,"logy 113:441–450. Safranyik, L., R. Silversides, L. H. McMullen, and D. A. Linton. 1989. An empirical approach to modelling the local dispersal of the mountain pine beetle (Dendroctonus ponderosae Hop.) (Col., Scolytidae) in relation to sources of attraction, wind direction and speed. Journal of Applied Entomology 108:498– 511. Skalski, G. T., and J. F. Gilliam. 2000. Modeling diffusive spread in a heterogeneous population: a movement study with stream fish. Ecology 81:1685–1700. Taylor, S. W., A. L. Carroll, R. I. Alf"
cartwright2018landscape,2018,wind,,"e humidity and promote formation of dew [ 15,24], which can help relieve plant water stress during droughts [81,82]. Suppression of evapotranspiration by high relative humidity can have substantial ameliorating effects on drought mortality [ 83]. In addition, wind can redistribute precipitation in rugged terrain preferentially to valleys [84,85]. Lower nocturnal minimum temperatures associated with cold-air pools [86] might negatively affect MPB habitat suitability and contribute to refugia from insect damage. Although"
cartwright2018landscape,2018,wind,,"below which WP and LP stands, respectively, were not attacked by MPB. Fire suppression can result in densely stocked stands that may contain more mature larger-diameter host trees, making them more susceptible to MPB attack [29]. Thinner stands also increase wind penetration, helping to disperse beetle pheromones and disrupt chemical communications needed to coordinate attacks [33]. Current management recommendations in LP and ponderosa pine stands include thinning to improve tree vigor and decrease habitat suitabilit"
cartwright2018landscape,2018,wind,,"Ref] 84. Sevruk, B. Regional dependency of precipitation-altitude relationship in the swiss alps. Clim. Chang. 1997, 36, 355–369. [CrossRef] 85. Watson, F.G.R.; Anderson, T.N.; Kramer, M.; Detka, J.; Masek, T.; Cornish, S.S.; Moore, S.W. Chapter 5: Effects of wind, terrain, and vegetation on snow pack. In The Ecology of Large Mammals in Central Yellowstone; Garrott, R., White, P ., Watson, F., Eds.; Elsevier Inc.: Boston, MA, USA, 2009; Volume 3, pp. 68–84. 86. Lundquist, J.D.; Pepin, N.; Rochford, C. Automated algorit"
krawchuk2020disturbance,2020,windstorms,,"the northern spot- ted owl (Strix occidentalis caurina). Although most studies of disturbance refugia have focused on wildfire, we emphasize that the functions of refugia are likely similar in the context of drought or insects, as well as hurricanes, floods, windstorms, pathogens, invasive species, avalanches, landslides, forest har - vest, and other agents of forest disturbance. Below, we illustrate the refugia framework for three distinct disturbance types – fire, drought, and insect outbreaks – and their potential inter"
krawchuk2020disturbance,2020,winds,,"eas others are largely stochastic, driven by fire behavior, weather, and fire suppression (Figure 3). Furthermore, the occurrence of fire refugia appears to vary depending on weather conditions (Krawchuk et al. 2016; Collins et al. 2019), so that more extreme winds, heat, and/ Figure 2. Implications of three forest disturbance types for disturbance refugia. Each distur - bance has unique attributes that can influence disturbance mosaics, here illustrated as spatial patterns of tree mortality and survival, the latter rep"
