study,year,pdf,n_wind,scales,finest
Zabihi 2021 Predicting multi-species bar,,Zabihi 2021 Predicting multi-species bark beetle Coleoptera Curculionidae Scolytinae occurrence in Alaska.pdf,1,,
wulder2006estimating,2006,Wulder et al 2006 Estimating the probability of mountain pine beetle red-attack damage.pdf,0,,
haukema2008movement,2008,Aukema 2007 Movement of outbreak populations of mountain pine beetle.pdf,1,,
maciasfauria2009large,2009,Fauria & Johson 2009 Large-scale climatic patterns and area affected by mountain pine beetle in British Columbia.pdf,1,,
chen2011mountain,2011,Chen & Walton 2011 Mountain pine beetle dispersal.pdf,2,,
chen2013spatiotempor,2013,Chen 2014 A spatiotemporal pattern analysis of historical mountain pine beetle outbreaks in British Columbia.pdf,0,,
walter2013multi,2013,Walter J A & Platt R V 2013 Multi-temporal analysis of mountain pine beetle infestation change during outbreak cycles.pdf,0,,
meddens2014spatial,2014,Meddens & Hicke 2014 Spatial and temporal patterns of Landsat.pdf,0,,
cartwright2018landscape,2018,Cartright 2018 Landscape Topoedaphic Features Create Refugia from Drought and Insect Disturbance in a Lodgepole and Whitebark Pine Forest.pdf,3,,
krawchuk2020disturbance,2020,Krawchuk 2020 Disturbance refugia within mosaics of forest fire  drought  and insect.pdf,6,,
murphy2026spatial,2026,Murphy et al 2026 Spatial Patterns of Confier Regeneration Following Mixed Severity Fire and MPB Outbreaks in Selkirk Mountains.pdf,36,annual;instantaneous;monthly,instantaneous
