"Attribute","Mean","SD","SE#","Median","Min","Max","Skew","Kurt."
"Stand basal area (m² ha⁻¹)","35.56","11.60","0.035","37.39","0.98","62.43","-1.01","+1.42"
"Crown closure (%)","50.10","13.54","0.041","50.00","3.00","70.00","-1.74","+3.37"
"Live stems (n/ha)","772.75","312.80","0.936","775.00","23.00","4600.00","+1.70","+19.51"
"Quadratic mean diameter (cm)","27.38","6.40","0.019","26.95","13.55","58.90","+0.73","+1.24"
"Stand age (years)","115.46","20.88","0.062","116.00","22.00","237.00","-0.78","+1.97"
"Stand height (m)","26.97","6.27","0.019","27.90","7.00","40.30","-0.26","+0.23"
"Standing volume (m³ ha⁻¹)","272.33","131.38","0.393","281.47","0.82","586.61","+0.01","-0.35"
"Lodgepole pine cover (%)","20.11","23.93","0.072","10.00","0.00","100.00","+1.45","+1.56"
"Susceptible pine BA (m² ha⁻¹)","7.07","8.85","0.026","4.00","0.00","48.30","+1.63","+2.63"
"# Note the standard error is small because it is computed over 111,707 cell-years, and it measures the precision of the landscape mean, rather than of any one cell.","","","","","","","",""
