"Variable","Pathway","Expected","Univariate AUC"
"Elevation (m)","Landform","uncertain","0.682****"
"Susceptible pine BA (m² ha⁻¹)","Host size","positive","0.678****"
"Stand basal area (m² ha⁻¹)","Stand density","positive","0.601****"
"Sky view factor","Topographic shading","positive, as main effect","0.686****"
"Stand age (years)","Host size","positive","0.571****"
"July mean wind (km/h)","Flight-window wind, stations","negative","0.563****"
"Northness","Topographic shading","negative","0.586****"
"Quadratic mean diameter (cm)","Host size","positive above 25 cm","0.510****"
"June mean wind (km/h)","Flight-window wind, stations","negative","0.534****"
"Wind shelter index","Terrain exposure to wind","negative, the index rising windward","0.526****"
"MicroMet flight-window wind (km/h)","Flight-window wind, terrain-resolved","negative","0.580****"
"Topographic position index","Terrain shape","more attack in convergent terrain","0.585****"
"Flight-window direct radiation (kWh/m2)","Flight-window radiation","positive","0.561****"
"Convergence index","Terrain shape","more attack in convergent terrain","0.530****"
"Profile curvature","Terrain shape","more attack in convergent terrain","0.514****"
