"Term","Beta","SE","z"
"Stand basal area (m² ha⁻¹)","+0.430****","0.024","18.20"
"Northness","+0.384****","0.015","24.85"
"Elevation (m)","+0.381****","0.016","24.18"
"Susceptible pine BA (m² ha⁻¹)","+0.343****","0.015","23.65"
"Quadratic mean diameter (cm)","-0.341****","0.022","-15.37"
"Flight-window direct radiation (kWh/m2)","+0.319****","0.023","13.98"
"July mean wind (km/h)","+0.286****","0.014","20.95"
"Sky view factor","+0.285****","0.023","12.60"
"Wind shelter index","-0.267****","0.021","-12.48"
"Stand age (years)","+0.201****","0.018","11.31"
"Convergence index","-0.077****","0.015","-5.07"
"Stand basal area x July mean wind","-0.077****","0.016","-4.81"
"Stand basal area x Flight-window direct radiation","+0.073***","0.020","3.58"
"Profile curvature","-0.059****","0.014","-4.10"
"June mean wind (km/h)","+0.030*","0.014","2.20"
"Stand basal area x Wind shelter index","+0.023","0.025","0.89"
"Topographic position index","-0.015","0.023","-0.64"
