"Candidate","Pathway","Univariate AUC","Stage","Lasso coefficient","Protected"
"Elevation (m)","Landform","0.682****","retained","+0.336","yes"
"Susceptible pine BA (m² ha⁻¹)","Host size","0.678****","retained","+0.427","yes"
"Stand basal area (m² ha⁻¹)","Stand density","0.601****","retained","+0.347","yes"
"Sky view factor","Topographic shading","0.686****","retained","+0.315","yes"
"Stand age (years)","Host size","0.571****","retained","+0.068",""
"July mean wind (km/h)","Flight-window wind, stations","0.563****","retained","+0.249","yes"
"Northness","Topographic shading","0.586****","retained","+0.314",""
"Quadratic mean diameter (cm)","Host size","0.510****","retained","-0.124",""
"June mean wind (km/h)","Flight-window wind, stations","0.534****","retained","-0.025",""
"Wind shelter index","Terrain exposure to wind","0.526****","retained","-0.205","yes"
"MicroMet flight-window wind (km/h)","Flight-window wind, terrain-resolved","0.580****","retained","+0.253","yes"
"Topographic position index","Terrain shape","0.585****","retained","-0.168","yes"
"Flight-window direct radiation (kWh/m2)","Flight-window radiation","0.561****","retained","+0.206","yes"
"Convergence index","Terrain shape","0.530****","retained","-0.016",""
"Profile curvature","Terrain shape","0.514****","retained","-0.010",""
"Height above valley floor (m)","Landform","0.646****","penalty","+0.000",""
"Live stems (n/ha)","Stand density","0.602****","penalty","+0.000",""
"Valley depth (m)","Landform","0.617****","penalty","+0.000",""
"Mid-slope position","Landform","0.517****","penalty","+0.000",""
"Crown closure (%)","Stand density","0.524****","penalty","+0.000",""
"Vector ruggedness measure","Terrain shape","0.600****","penalty","+0.000",""
"Terrain ruggedness index","Terrain shape","0.648****","inflation","",""
"Normalised height","Landform","0.584****","inflation","",""
"Flight-window mean wind (km/h)","Flight-window wind, stations","0.558****","inflation","",""
"Eastness","Topographic shading","0.549****","inflation","",""
"Effective air flow height","Terrain exposure to wind","0.682****","collinearity","",""
"Lodgepole pine cover (%)","Host size","0.656****","collinearity","",""
"Slope (degrees)","Terrain shape","0.645****","collinearity","",""
"Positive openness","Terrain exposure to wind","0.636****","collinearity","",""
"Wind exposition index","Terrain exposure to wind","0.563****","collinearity","",""
"Standing volume (m³ ha⁻¹)","Stand density","0.555****","collinearity","",""
"Flight-window windy hours (share above 15 km/h)","Flight-window wind, stations","0.548****","collinearity","",""
"Flight-window calm hours (share below 5 km/h)","Flight-window wind, stations","0.547****","collinearity","",""
"Multi-scale topographic position","Terrain shape","0.540****","collinearity","",""
"August mean wind (km/h)","Flight-window wind, stations","0.534****","collinearity","",""
"Plan curvature","Terrain shape","0.528****","collinearity","",""
"solar_flight_diffuse","Flight-window radiation","0.528****","collinearity","",""
"Windward-leeward index","Terrain exposure to wind","0.522****","collinearity","",""
"Growing-season total radiation (kWh/m2)","Topographic shading","0.517****","collinearity","",""
"Growing-season direct radiation (kWh/m2)","Topographic shading","0.516****","collinearity","",""
"Flight-window 95th percentile wind (km/h)","Flight-window wind, stations","0.527","univariate","",""
"Stand height (m)","Host size","0.507","univariate","",""
"Topographic wetness index","Landform","0.506*","univariate","",""
"Negative openness","Terrain exposure to wind","0.501","univariate","",""
"Heat load index","Topographic shading","0.499","univariate","",""
