"Term","Beta","SE","z","p"
"Stand basal area (m2/ha)","+0.453","0.029","15.66","< 0.001"
"Northness","+0.383","0.016","24.25","< 0.001"
"Elevation (m)","+0.373","0.023","16.04","< 0.001"
"Susceptible pine basal area (m2/ha)","+0.362","0.015","23.53","< 0.001"
"Flight-window direct radiation (kWh/m2)","+0.335","0.024","14.02","< 0.001"
"Quadratic mean diameter (cm)","-0.333","0.027","-12.47","< 0.001"
"July mean wind (km/h)","+0.283","0.014","20.73","< 0.001"
"Sky view factor","+0.275","0.025","10.80","< 0.001"
"Wind shelter index","-0.249","0.023","-11.04","< 0.001"
"Stand age (years)","+0.227","0.019","12.20","< 0.001"
"Stand basal area x Flight-window direct radiation","+0.091","0.021","4.32","< 0.001"
"Height above valley floor (m)","+0.084","0.026","3.23","0.001"
"Crown closure (%)","-0.079","0.022","-3.52","< 0.001"
"Stand basal area x July mean wind","-0.077","0.016","-4.73","< 0.001"
"Convergence index","-0.076","0.015","-4.92","< 0.001"
"Valley depth (m)","-0.064","0.023","-2.81","0.005"
"Profile curvature","-0.063","0.015","-4.23","< 0.001"
"Live stems (n/ha)","+0.062","0.017","3.70","< 0.001"
"Vector ruggedness measure","+0.035","0.022","1.62","0.106"
"Mid-slope position","+0.032","0.015","2.18","0.030"
"June mean wind (km/h)","+0.026","0.014","1.85","0.065"
"Stand basal area x Wind shelter index","+0.025","0.026","0.99","0.324"
"Topographic position index","+0.004","0.027","0.15","0.879"
