"point_id","plot","easting_m","northing_m","pi_mpb_killed","pi_mpb_killed_pc","BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI"
1,1,524683.792,5447133.253,15.0241928019693,84.9091941165153,0.02746625,0.03623875,0.102702468633652,0.128735,0.0282775,0.104755,0.05807375,-0.380967557430267
2,1,524652.042,5447134.576,15.0241928019693,84.9091941165153,0.02746625,0.03623875,0.102702468633652,0.128735,0.0282775,0.104755,0.05807375,-0.380967557430267
3,1,524684.123,5447110.433,15.0241928019693,84.9091941165153,0.02746625,0.03623875,0.102702468633652,0.128735,0.0282775,0.104755,0.05807375,-0.380967557430267
4,1,524653.695,5447110.102,15.0241928019693,84.9091941165153,0.02746625,0.03623875,0.102702468633652,0.128735,0.0282775,0.104755,0.05807375,-0.380967557430267
5,2,524684.123,5447073.391,39.7510178591308,80.6718155584882,0.03318625,0.04652375,0.166058614850044,0.18258,0.0372975,0.1305775,0.07039375,-0.165296614170074
6,2,524652.373,5447074.714,39.7510178591308,80.6718155584882,0.03318625,0.04652375,0.166058614850044,0.18258,0.0372975,0.1305775,0.07039375,-0.165296614170074
7,2,524684.453,5447050.571,39.7510178591308,80.6718155584882,0.03318625,0.04652375,0.166058614850044,0.18258,0.0372975,0.1305775,0.07039375,-0.165296614170074
8,2,524654.026,5447050.24,39.7510178591308,80.6718155584882,0.03318625,0.04652375,0.166058614850044,0.18258,0.0372975,0.1305775,0.07039375,-0.165296614170074
9,3,524300.674,5447340.687,37.2124167088095,80.7369574840845,0.030395,0.042715,0.140636548399925,0.16097875,0.03373625,0.1212825,0.0673275,-0.316896319389343
10,3,524268.924,5447342.01,37.2124167088095,80.7369574840845,0.03357125,0.0478575,0.0840209648013115,0.16790875,0.04022625,0.14188,0.08100875,-0.380440682172775
11,3,524301.005,5447317.866,37.2124167088095,80.7369574840845,0.030395,0.042715,0.140636548399925,0.16097875,0.03373625,0.1212825,0.0673275,-0.316896319389343
12,3,524270.578,5447317.536,37.2124167088095,80.7369574840845,0.03357125,0.0478575,0.0840209648013115,0.16790875,0.04022625,0.14188,0.08100875,-0.380440682172775
13,4,524357.825,5447399.954,24.519410957203,82.8216273785474,0.02815375,0.03937375,0.187170222401619,0.1551075,0.03183875,0.10619875,0.0582525,-0.325680553913116
14,4,524326.074,5447401.277,24.519410957203,82.8216273785474,0.0314675,0.04061125,0.0938669517636299,0.1421275,0.03529,0.117735,0.06761625,-0.417356818914413
