"year","epoch","start","sensor","index","n_plots","r_m2","r_pc","abs_m2","abs_pc"
2005,1,"2005-05-01","LT05","NDVI",27,-0.616579223536268,0.620782773479197,0.616579223536268,0.620782773479197
2009,9,"2009-09-06","LT05","NDMI",28,-0.52639679930079,0.559696822911448,0.52639679930079,0.559696822911448
2009,9,"2009-09-06","LT05","MSI",28,0.52639679930079,-0.559696822911448,0.52639679930079,0.559696822911448
2009,9,"2009-09-06","LT05","NBR",28,-0.500595388367788,0.481147254759369,0.500595388367788,0.481147254759369
2009,7,"2009-08-05","LT05","NDMI",28,-0.494243434654398,0.518115436301128,0.494243434654398,0.518115436301128
2009,7,"2009-08-05","LT05","MSI",28,0.494243434654398,-0.518115436301128,0.494243434654398,0.518115436301128
2003,8,"2003-08-21","LT05","NDVI",28,-0.494225942912804,0.514472600458164,0.494225942912804,0.514472600458164
2006,5,"2006-07-04","LT05","NDMI",25,-0.48190159655614,0.376318050422483,0.48190159655614,0.376318050422483
2006,5,"2006-07-04","LT05","MSI",25,0.48190159655614,-0.376318050422483,0.48190159655614,0.376318050422483
2011,8,"2011-08-21","LT05","NDMI",28,-0.474304486661839,0.483321282970023,0.474304486661839,0.483321282970023
2011,8,"2011-08-21","LT05","MSI",28,0.474304486661839,-0.483321282970023,0.474304486661839,0.483321282970023
2006,10,"2006-09-22","LT05","NDMI",28,-0.472988459676287,0.50343832533441,0.472988459676287,0.50343832533441
2006,10,"2006-09-22","LT05","MSI",28,0.472988459676287,-0.50343832533441,0.472988459676287,0.50343832533441
2005,1,"2005-05-01","LT05","NBR",27,-0.464238234408146,0.518589904473435,0.464238234408146,0.518589904473435
2009,9,"2009-09-06","LT05","TCW",28,-0.463909957307936,0.469271680670131,0.463909957307936,0.469271680670131
2006,8,"2006-08-21","LT05","NDMI",28,-0.463377002605719,0.496148570631672,0.463377002605719,0.496148570631672
2006,8,"2006-08-21","LT05","MSI",28,0.463377002605719,-0.496148570631672,0.463377002605719,0.496148570631672
2005,1,"2005-05-01","LT05","NDMI",27,-0.460278783463309,0.519430862408156,0.460278783463309,0.519430862408156
2005,1,"2005-05-01","LT05","MSI",27,0.460278783463309,-0.519430862408156,0.460278783463309,0.519430862408156
2011,9,"2011-09-06","LT05","NBR",28,-0.458583303380075,0.502997234461258,0.458583303380075,0.502997234461258
2007,9,"2007-09-06","LT05","NBR",28,-0.458423619574382,0.483914001507522,0.458423619574382,0.483914001507522
2011,8,"2011-08-21","LT05","TCW",28,-0.450142273285392,0.46681384588915,0.450142273285392,0.46681384588915
2003,7,"2003-08-05","LT05","NDMI",28,-0.444012041682811,0.457145267071468,0.444012041682811,0.457145267071468
2003,7,"2003-08-05","LT05","MSI",28,0.444012041682811,-0.457145267071468,0.444012041682811,0.457145267071468
2003,8,"2003-08-21","LT05","NDMI",28,-0.441135196446596,0.442878097193248,0.441135196446596,0.442878097193248
2003,8,"2003-08-21","LT05","MSI",28,0.441135196446596,-0.442878097193248,0.441135196446596,0.442878097193248
2005,7,"2005-08-05","LT05","NDMI",28,-0.439878530261682,0.457942213541237,0.439878530261682,0.457942213541237
2005,7,"2005-08-05","LT05","MSI",28,0.439878530261682,-0.457942213541237,0.439878530261682,0.457942213541237
2009,4,"2009-06-18","LT05","RGI",28,0.436056111270636,-0.43457310469065,0.436056111270636,0.43457310469065
2010,7,"2010-08-05","LT05","NDMI",28,-0.435373003075908,0.434464141218178,0.435373003075908,0.434464141218178
2010,7,"2010-08-05","LT05","MSI",28,0.435373003075908,-0.434464141218178,0.435373003075908,0.434464141218178
2011,7,"2011-08-05","LT05","NDMI",28,-0.433942658613081,0.45387252646296,0.433942658613081,0.45387252646296
2011,7,"2011-08-05","LT05","MSI",28,0.433942658613081,-0.45387252646296,0.433942658613081,0.45387252646296
2011,7,"2011-08-05","LT05","NBR",28,-0.4323808977151,0.412314736771102,0.4323808977151,0.412314736771102
2014,7,"2014-08-05","LC08","TCW",28,-0.431203523762583,0.437287744395074,0.431203523762583,0.437287744395074
2011,8,"2011-08-21","LT05","NBR",28,-0.428911833021626,0.427704754512441,0.428911833021626,0.427704754512441
2011,9,"2011-09-06","LT05","NDVI",28,-0.428876365579299,0.424567941842638,0.428876365579299,0.424567941842638
2009,6,"2009-07-20","LT05","NBR",28,-0.428597630051111,0.429207209067617,0.428597630051111,0.429207209067617
2011,9,"2011-09-06","LT05","NDMI",28,-0.42685322278373,0.485094468104186,0.42685322278373,0.485094468104186
2011,9,"2011-09-06","LT05","MSI",28,0.42685322278373,-0.485094468104186,0.42685322278373,0.485094468104186
2010,4,"2010-06-18","LT05","NBR",28,-0.426543047704201,0.464078933641176,0.426543047704201,0.464078933641176
2007,6,"2007-07-20","LT05","NDMI",28,-0.425806657377087,0.445391347886875,0.425806657377087,0.445391347886875
2007,6,"2007-07-20","LT05","MSI",28,0.425806657377087,-0.445391347886875,0.425806657377087,0.445391347886875
2007,9,"2007-09-06","LT05","NDMI",28,-0.424886353036129,0.488867674336739,0.424886353036129,0.488867674336739
2007,9,"2007-09-06","LT05","MSI",28,0.424886353036129,-0.488867674336739,0.424886353036129,0.488867674336739
2011,7,"2011-08-05","LT05","TCW",28,-0.424521035149144,0.441728655495958,0.424521035149144,0.441728655495958
2003,4,"2003-06-18","LT05","NDVI",28,-0.422752882301764,0.392043677815676,0.422752882301764,0.392043677815676
2008,9,"2008-09-05","LT05","NDMI",28,-0.422348925902771,0.469319735822993,0.422348925902771,0.469319735822993
2008,9,"2008-09-05","LT05","MSI",28,0.422348925902771,-0.469319735822993,0.422348925902771,0.469319735822993
2009,6,"2009-07-20","LT05","NDMI",28,-0.421422353301795,0.436722733417187,0.421422353301795,0.436722733417187
2009,6,"2009-07-20","LT05","MSI",28,0.421422353301795,-0.436722733417187,0.421422353301795,0.436722733417187
2010,4,"2010-06-18","LT05","TCW",28,-0.419109466874149,0.476019415411331,0.419109466874149,0.476019415411331
2006,5,"2006-07-04","LT05","TCW",25,-0.410667616267626,0.274360521907997,0.410667616267626,0.274360521907997
2009,5,"2009-07-04","LT05","NDVI",28,-0.408224482804126,0.387590733143209,0.408224482804126,0.387590733143209
2010,4,"2010-06-18","LT05","NDMI",28,-0.404895208939984,0.45924659219992,0.404895208939984,0.45924659219992
2010,4,"2010-06-18","LT05","MSI",28,0.404895208939984,-0.45924659219992,0.404895208939984,0.45924659219992
2013,8,"2013-08-21","LC08","TCW",28,-0.404289151739932,0.409501655203029,0.404289151739932,0.409501655203029
2011,9,"2011-09-06","LT05","TCW",28,-0.403973098420108,0.446294705550224,0.403973098420108,0.446294705550224
2008,9,"2008-09-05","LT05","NBR",28,-0.398778931907386,0.430730593113116,0.398778931907386,0.430730593113116
2009,4,"2009-06-18","LT05","NDMI",28,-0.398003169205597,0.425047309017369,0.398003169205597,0.425047309017369
