"BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI","elev","lab","split","yr","lon","lat"
0.0169985,0.0321723,0.3583197,0.2252173,0.0248815,0.1063943,0.0463012,-0.0035103,1313,1,0,2005,-116.5743295,49.2300581
0.0162253,0.0351841,0.430244,0.2396278,0.0217185,0.0954588,0.0404227,0.0094149,1351,1,1,2005,-116.5799889,49.2316751
0.0167655,0.0329256,0.3722426,0.2214417,0.0201397,0.1013025,0.0445554,-0.0340455,1445,1,0,2005,-116.5797194,49.2335615
0.0165492,0.0353699,0.2670652,0.1898396,0.0271669,0.1098128,0.0541397,-0.0461802,1500,1,0,2005,-116.5797194,49.2346395
0.0164133,0.0328914,0.3485253,0.2100695,0.0201091,0.1014849,0.0455589,-0.0166233,1407,1,0,2005,-116.5807974,49.2327531
0.0190126,0.0347034,0.3247832,0.2208965,0.0227369,0.1125867,0.0535593,-0.0593932,1429,1,0,2005,-116.576216,49.233831
0.0212763,0.0379756,0.3005113,0.2308819,0.0297916,0.1241814,0.0590496,-0.0283608,1248,1,0,2005,-116.575138,49.2292496
0.0188324,0.0332311,0.2450739,0.2024222,0.0284765,0.1227348,0.0548377,-0.0706729,1522,1,0,2005,-116.5797194,49.2351785
0.0161733,0.0315578,0.3626335,0.2062756,0.0239096,0.0964846,0.0437738,-0.0353138,1431,1,0,2005,-116.5764855,49.2341005
0.0168754,0.0339009,0.3489679,0.2220742,0.0208382,0.1071763,0.0463839,-0.0536935,1337,1,0,2005,-116.5775634,49.2319446
0.0176125,0.0334896,0.3424656,0.1851967,0.0198248,0.0907086,0.0432213,-0.0038105,1520,1,0,2005,-116.5807974,49.2357175
0.0147208,0.0275773,0.3648909,0.1563218,0.0200094,0.0727394,0.0304093,-0.012567,1330,1,0,2005,-116.5770245,49.2316751
0.0208191,0.0352084,0.3797354,0.1886819,0.0244434,0.0848226,0.0386164,0.0064071,1431,1,0,2005,-116.5697481,49.2297886
0.0167041,0.0311068,0.2536137,0.1850421,0.027606,0.1101718,0.0561777,-0.0676846,1436,1,0,2005,-116.575677,49.2335615
0.0190897,0.0362979,0.3997936,0.1771934,0.0215568,0.0759773,0.0333996,0.0336331,1384,1,0,2005,-116.5710956,49.2295191
0.0185363,0.0386148,0.315847,0.2472534,0.0242054,0.1285554,0.0535499,-0.0944448,1325,1,1,2005,-116.5743295,49.2303276
0.0257926,0.0468403,0.1331869,0.2001288,0.0419076,0.1530853,0.0899773,-0.0903711,1297,1,1,2005,-116.5764855,49.2311361
0.0143157,0.0312148,0.3253414,0.2102453,0.0231443,0.1070244,0.0470844,-0.0426903,1363,1,1,2005,-116.5797194,49.2319446
0.0164992,0.0315988,0.2993834,0.1648838,0.0249211,0.088904,0.04365,-0.0165777,1367,1,0,2005,-116.5713651,49.2273632
0.0171474,0.0309263,0.3650464,0.1705365,0.0234026,0.0793253,0.0399251,-0.0116378,1354,1,0,2005,-116.5764855,49.2322141
0.0194089,0.0331202,0.3768443,0.1749635,0.0191662,0.079188,0.0313551,-0.0078837,1374,1,0,2005,-116.5713651,49.2295191
0.0152369,0.0306359,0.4070934,0.2087503,0.023107,0.087961,0.0401174,-0.047403,1287,1,1,2005,-116.5794499,49.2303276
0.0146725,0.0264284,0.3703071,0.1618117,0.0188276,0.0743568,0.0349146,-0.0194124,1411,1,0,2005,-116.5789109,49.2330225
0.0171834,0.0276742,0.3701838,0.2105147,0.0208483,0.0967648,0.0421534,-0.0193755,1362,1,0,2005,-116.5772939,49.2324836
0.0160745,0.0348263,0.322864,0.2077853,0.0236678,0.1063593,0.0421241,-0.0621142,1377,1,0,2005,-116.5737905,49.2319446
0.0164841,0.0332963,0.1854673,0.1605685,0.0289386,0.1103263,0.0570938,-0.1290135,1397,1,0,2005,-116.5719041,49.2305971
0.0139748,0.0304886,0.3274668,0.2056327,0.0225349,0.1041795,0.0458328,-0.0437092,1360,1,0,2005,-116.5794499,49.2319446
0.0210159,0.0427828,0.2421049,0.2131172,0.0338717,0.1300377,0.0789005,0.0042043,1377,1,0,2005,-116.5708261,49.2273632
0.01669,0.0325492,0.3840178,0.2161414,0.0222536,0.0961976,0.0394154,-0.0288357,1428,1,0,2005,-116.5781024,49.2335615
0.0170684,0.0305346,0.3661026,0.1999427,0.0255723,0.0927772,0.0459094,-0.0085531,1351,1,0,2005,-116.5789109,49.2319446
0.0175901,0.0300668,0.403923,0.1924572,0.0220626,0.0817134,0.0363707,-0.0022283,1286,1,0,2005,-116.5781024,49.2311361
0.0201026,0.0351232,0.2924725,0.1734942,0.0320861,0.0949745,0.04531,-0.0478386,1335,1,0,2005,-116.572982,49.2273632
0.0192483,0.0368697,0.3759966,0.1832295,0.0256829,0.0830931,0.0381905,-0.021804,1407,1,0,2005,-116.5702871,49.2292496
0.0163218,0.0312841,0.3496819,0.2192406,0.021197,0.1056368,0.0428755,-0.0126153,1393,1,1,2005,-116.573521,49.2322141
0.0233772,0.0399189,0.2110142,0.2173698,0.0372141,0.1416182,0.0720192,-0.0338911,1356,1,0,2005,-116.5713651,49.2270937
0.0164992,0.0315988,0.2993834,0.1648838,0.0249211,0.088904,0.04365,-0.0165777,1373,1,0,2005,-116.5713651,49.2273632
0.0173366,0.0342491,0.3687223,0.2094457,0.022962,0.0965998,0.0418525,-0.0041744,1351,1,0,2005,-116.5797194,49.2316751
0.0142969,0.0309874,0.3650553,0.1939664,0.0205565,0.0902219,0.036181,-0.0479205,1386,1,0,2005,-116.5772939,49.2330225
0.0186116,0.0334161,0.3096699,0.1992362,0.0231549,0.1050179,0.0460506,-0.0320672,1434,1,0,2005,-116.5697481,49.2303276
0.0201493,0.0364186,0.3520495,0.2385073,0.0253897,0.1143013,0.0507002,-0.0093258,1395,1,1,2005,-116.57406,49.2330225
0.0211007,0.0362212,0.3213882,0.2343813,0.0281866,0.1203688,0.0557132,-0.0410186,1344,1,0,2005,-116.5737905,49.2303276
0.0161726,0.0363955,0.3729132,0.2037239,0.0222173,0.0930522,0.0422127,0.0415558,1325,1,0,2005,-116.5772939,49.2316751
0.0155941,0.0329072,0.4019264,0.1782947,0.0226329,0.076062,0.0312781,-0.0058189,1432,1,0,2005,-116.5700176,49.2284411
0.0174035,0.0314885,0.222771,0.1679382,0.0259228,0.1067464,0.0499961,-0.1223461,1401,1,1,2005,-116.5748685,49.2327531
0.0191907,0.032753,0.3623183,0.1824048,0.0230623,0.0853811,0.0392421,-0.0027486,1430,1,0,2005,-116.5697481,49.2295191
0.015542,0.0272823,0.2804666,0.1635198,0.0231048,0.0918868,0.0450038,-0.0620741,1374,1,1,2005,-116.576216,49.2324836
0.0177533,0.0279348,0.3558719,0.1780005,0.0183893,0.0845619,0.0365038,-0.0389012,1361,1,1,2005,-116.5743295,49.2314056
0.0185382,0.0316653,0.3225919,0.1986761,0.0278876,0.1017583,0.0434569,-0.0279712,1446,1,0,2005,-116.5759465,49.2341005
